"","WT.F_1","WT.F_2","WT.M_1","WT.M_2","KO.F_1","KO.F_2","KO.M_1","KO.M_2"
"Gnai3",3813,3370,3163,3546,2949,3498,2859,3495
"Pbsn",0,0,0,0,0,0,0,0
"Cdc45",942,798,642,678,657,811,585,821
"Scml2",90,77,54,40,19,37,12,39
"Apoh",0,0,0,0,0,0,0,0
"Narf",610,613,464,551,655,825,600,733
"Cav2",2329,1969,1447,1809,1506,1657,1918,1708
"Klf6",6955,5990,5490,6073,4674,6244,4980,6642
"Scmh1",564,511,427,463,429,477,371,560
"Cox5a",2095,1953,1833,1840,1726,2043,1797,1874
"Tbx2",2,0,0,1,0,0,2,3
"Tbx4",0,0,0,0,0,0,0,0
"Zfy2",0,0,0,0,0,0,0,0
"Ngfr",0,0,0,0,0,0,0,0
"Wnt3",0,0,0,0,0,0,0,0
"Wnt9a",9,4,1,3,0,1,0,1
"Fer",446,365,266,370,185,218,131,180
"Xpo6",2623,2300,2028,2243,2164,2509,2177,2262
"Tfe3",2804,2493,2329,2587,1731,2382,1955,2135
"Axin2",0,2,0,0,0,0,0,0
"Brat1",392,395,330,358,440,533,507,501
"Gna12",3926,4210,3662,3631,1508,1829,1468,2337
"Slc22a18",29,19,23,21,41,44,16,39
"Itgb2l",5,11,2,2,17,34,18,12
"Igsf5",0,0,0,0,0,0,0,0
"Pih1d2",13,5,11,5,2,4,6,3
"Dlat",1696,1401,1357,1359,939,1186,951,1135
"Sdhd",2329,2007,1796,1957,1790,2034,1514,2103
"Fgf23",0,0,0,0,0,0,0,0
"Fgf6",0,0,0,0,0,0,0,0
"Ccnd2",236,332,218,132,909,1176,450,633
"Gpr107",1810,1732,1565,1695,1415,1619,1299,1608
"Nalcn",0,0,0,0,0,0,0,0
"Btbd17",2,0,0,0,0,0,0,0
"Slfn4",153,142,44,81,60,176,161,104
"Th",0,0,0,0,0,0,0,0
"Ins2",0,0,0,0,0,0,0,0
"Scnn1g",0,0,0,0,0,0,0,0
"Drp2",45,32,16,26,16,23,9,28
"Tspan32",531,486,455,490,829,866,941,721
"Lhx2",14,15,13,19,6,25,11,13
"Clec2g",1,1,1,2,3,6,4,3
"Gmpr",319,300,225,238,127,128,71,157
"Glra1",0,0,0,0,0,0,0,0
"Mid2",3,0,0,0,0,0,0,0
"Trim25",5561,4405,3153,3729,2671,3351,3302,2989
"Dgke",497,396,317,391,281,298,258,389
"Scpep1",4579,4140,3034,3510,2974,3735,2862,3820
"Mnt",1408,1298,967,1188,1293,1565,1186,1514
"Itgb2",16111,13874,12741,14498,20866,25086,19962,20216
"Hddc2",198,164,138,174,128,146,82,128
"Tpd52l1",0,0,0,0,1,1,0,0
"Pemt",63,68,40,56,37,41,48,40
"Cdh1",98,57,48,61,518,633,802,407
"Cdh4",0,0,1,0,0,0,1,0
"Ckmt1",0,0,0,0,0,0,0,0
"Bcl6b",7,10,9,11,11,8,13,6
"Clec10a",148,66,34,66,82,101,30,68
"Alox12",0,0,0,0,0,1,0,0
"Arvcf",119,95,74,76,48,50,22,84
"Comt",1472,1349,1307,1308,1555,1739,1359,1768
"Rtca",684,570,525,578,498,636,521,604
"Dbt",577,507,449,424,351,436,365,476
"Dazap2",7693,7143,5855,6649,7154,8614,6599,8331
"Mcts1",565,450,434,434,426,565,407,559
"Rem1",1,0,0,0,0,1,2,0
"Rnf17",54,55,17,33,19,36,14,19
"Trappc10",3070,2760,2419,2705,2468,2995,2826,2642
"Ccm2",852,767,660,718,689,911,746,868
"Wap",0,0,0,0,0,0,0,0
"Tbrg4",1309,1096,1169,1172,904,1178,977,978
"Tmprss2",0,0,0,0,0,0,0,0
"Fap",3,2,0,3,0,0,4,1
"Gcg",0,0,0,0,0,0,0,0
"Ndufa9",1562,1247,1216,1328,1036,1290,966,1213
"Egfl6",0,0,0,0,0,0,0,0
"Lck",13,5,2,1,2,2,0,1
"Tssk3",1,1,0,0,0,0,0,0
"Cttnbp2",0,0,0,0,0,0,0,0
"Galnt1",2470,2228,1917,2052,2213,2738,2048,2463
"Myf5",0,0,0,0,0,0,0,0
"Mkrn2",697,618,505,556,474,585,516,581
"Pparg",467,303,256,276,211,311,247,316
"Raf1",2145,1983,1804,1962,1913,2237,2262,2228
"Sept1",8,8,7,4,6,14,11,16
"Pdgfb",1788,1588,1645,1717,1822,2074,968,2074
"Acvrl1",621,504,479,538,499,607,510,556
"Grasp",27,14,23,21,18,18,8,13
"Acvr1b",1147,966,889,1096,1061,1361,1088,1163
"Tom1l2",670,584,522,616,463,643,474,590
"Gpa33",0,0,0,0,0,0,0,0
"Zfp385a",1560,1448,1365,1554,2107,2426,2098,1896
"Itga5",5983,5063,5746,6654,4370,5344,5531,4332
"Gabra2",0,0,0,0,0,0,0,0
"Wdr77",1308,1095,1141,1336,1013,1272,1033,998
"Adora3",69,81,100,73,129,123,158,76
"Atp5f1",4988,4335,3990,4057,3709,4304,3524,4390
"Sox9",0,1,0,2,0,0,0,0
"Hnrnpd",4061,3720,3190,3372,3507,4336,3546,4078
"Dynlt1c",214,96,138,233,198,218,233,253
"C1d",885,805,690,738,644,798,693,774
"Gm2a",4684,4254,3485,3978,9104,10212,8692,7739
"Krit1",895,754,622,683,772,1041,927,873
"Clcn4",1736,1567,1488,1611,1681,1902,1907,1713
"Vmn2r88",0,0,0,0,0,0,0,0
"Grm6",0,0,0,0,0,0,0,0
"Sema4f",1,0,0,2,0,0,2,0
"Hk2",1756,1626,1396,1660,1988,2384,2156,1827
"Myo18a",1918,1778,1606,1733,1612,1865,1967,1860
"Sez6",0,0,0,0,0,0,0,0
"Haao",145,178,143,121,314,327,268,330
"Cd52",3589,3607,2866,2649,5022,6046,4856,5473
"Abhd15",240,349,194,193,591,506,722,566
"Hoxb6",0,0,0,0,0,0,0,0
"Loxl3",135,108,74,80,63,72,41,70
"Tcl1b5",0,0,0,0,0,0,0,0
"Btn1a1",0,0,0,0,0,0,0,0
"Kat2b",1483,1251,1008,1193,1070,1351,1072,1265
"Rab5b",2995,2854,2432,2747,2887,3399,2823,3151
"Cryba1",0,0,0,0,0,0,0,0
"Dnmt3l",96,80,113,99,54,50,79,52
"Aire",0,0,0,0,0,1,1,0
"Icosl",811,768,719,712,1248,1540,1198,1331
"Spg7",1307,1234,873,1000,1039,1272,1249,1430
"Sult5a1",0,0,0,0,0,0,0,0
"Rpl13",14721,12994,11452,11727,12584,15700,11155,14846
"Chmp1a",2345,1984,1780,1991,1906,2084,1844,1927
"Rpa1",4851,4247,3638,3759,3684,4486,3619,4395
"Serpinf1",9,4,7,9,4,5,2,1
"Tubgcp3",1359,1283,1071,1096,1132,1401,1190,1460
"Oprm1",0,0,0,0,0,0,0,0
"Polr3d",464,338,370,383,229,330,226,270
"Tcf7",1,0,2,0,0,1,1,1
"Ddx3x",11513,9937,8922,9449,8982,10721,8571,10229
"Il12rb1",23,37,13,15,14,31,6,7
"Slc5a5",1,0,0,0,0,0,0,0
"Kcnn3",0,0,0,0,0,0,0,0
"Usp32",1073,1031,766,918,854,978,913,955
"Car4",0,0,0,0,0,0,0,0
"Txnrd3",136,95,108,111,67,70,48,73
"Fasl",0,1,0,0,0,0,0,0
"Zfp512b",661,584,508,549,485,631,574,596
"Dnajc5",3184,3016,2474,2831,2675,3280,2849,2962
"Tpd52l2",1092,988,858,993,905,1066,877,955
"Fmr1",1335,1186,1023,1015,1152,1348,1169,1354
"Bcl11a",11,4,0,0,13,11,4,6
"Il4",0,0,0,0,0,0,0,0
"Pxmp4",326,324,228,258,300,379,222,335
"Dlg3",35,49,27,29,31,28,43,26
"Gnb1l",94,68,60,64,44,66,41,72
"Dbh",0,0,0,0,0,0,0,0
"Mmp11",6,11,5,4,0,0,1,2
"Smarcb1",1309,1208,1089,1109,1089,1367,982,1175
"Vpreb3",0,0,0,0,0,0,0,0
"Hip1r",47,18,19,19,20,28,15,37
"Nsun5",289,253,265,255,205,302,260,245
"Top1mt",164,151,147,123,119,110,85,131
"Hoxa10",0,0,0,0,0,0,0,0
"Hoxa4",20,21,6,16,11,15,22,15
"Gm38393",0,0,0,0,0,0,0,0
"Mmp14",206,370,306,437,175,421,104,303
"Slc7a7",356,345,347,360,314,328,269,301
"Oxa1l",1118,1039,881,837,840,1063,848,1290
"Heatr6",1030,872,817,819,786,997,893,867
"Ccl3",1228,921,876,779,135,230,111,286
"Wfdc18",0,0,2,0,0,4,1,0
"Icam4",3,9,3,4,7,3,3,5
"Ilf2",1688,1397,1405,1347,1268,1481,1248,1411
"Chtop",2117,1974,1633,1662,1817,2080,1919,2123
"Snapin",726,763,644,647,647,738,587,825
"S100a4",21137,17849,15025,15118,21270,25194,26654,19878
"S100a3",1,2,2,1,0,1,3,0
"S100a5",0,2,0,2,1,1,0,0
"S100a6",6567,5394,4649,5118,6962,7831,7421,6899
"Scn4a",0,0,0,0,4,0,1,0
"Icam2",362,258,199,235,206,344,185,221
"Mapk7",733,657,529,590,669,873,762,858
"Epn2",56,58,36,49,6,11,4,15
"B9d1",32,21,29,28,14,12,1,15
