gene_id	gene_name	KO.F_1	KO.F_2	KO.M_1	KO.M_2	WT.F_1	WT.F_2	WT.M_1	WT.M_2
ENSMUSG00000000001	Gnai3	2949	3498	2859	3495	3813	3370	3163	3546
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	657	810.999	585	821	942	798	642	678
ENSMUSG00000000037	Scml2	19	36.999	12	39	89.999	77	54	40
ENSMUSG00000000049	Apoh	0	0	0	0	0	0	0	0
ENSMUSG00000000056	Narf	655	825	600	733	610	613	464	551
ENSMUSG00000000058	Cav2	1506	1657	1918	1708	2329	1969	1447	1809.001
ENSMUSG00000000078	Klf6	4674	6244	4980	6642.001	6955	5990	5490	6073
ENSMUSG00000000085	Scmh1	428.998	477	371	560.001	564	511	427	463.001
ENSMUSG00000000088	Cox5a	1726	2043	1797	1874	2095	1953.001	1833	1840
ENSMUSG00000000093	Tbx2	0	0	2	3	2	0	0	1
ENSMUSG00000000094	Tbx4	0	0	0	0	0	0	0	0
ENSMUSG00000000103	Zfy2	0	0	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	0	0	0	0	0	0	0	0
ENSMUSG00000000125	Wnt3	0	0	0	0	0	0	0	0
ENSMUSG00000000126	Wnt9a	0	1	0	1	9	4	1	3
ENSMUSG00000000127	Fer	185	218	131	180	446	365	266	370
ENSMUSG00000000131	Xpo6	2164	2509.001	2177.001	2262	2623	2300	2028.001	2242.999
ENSMUSG00000000134	Tfe3	1730.999	2382	1955	2135	2804	2493	2329	2587.001
ENSMUSG00000000142	Axin2	0	0	0	0	0	2	0	0
ENSMUSG00000000148	Brat1	440	532.999	507	501	392	395	330.001	358
ENSMUSG00000000149	Gna12	1508	1829	1468	2337	3926	4210	3662	3631
ENSMUSG00000000154	Slc22a18	40.999	44	16	39	29	19	23	21
ENSMUSG00000000157	Itgb2l	17	34	18	12	5	11	2	2
ENSMUSG00000000159	Igsf5	0	0	0	0	0	0	0	0
ENSMUSG00000000167	Pih1d2	2	4	6	3	13	5	11	5
ENSMUSG00000000168	Dlat	939	1185.999	951	1135	1695.999	1401	1357	1359
ENSMUSG00000000171	Sdhd	1790	2034	1514	2103	2329	2007	1796	1957
ENSMUSG00000000182	Fgf23	0	0	0	0	0	0	0	0
ENSMUSG00000000183	Fgf6	0	0	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	909	1176	450.001	633.001	236.001	332	218	132
ENSMUSG00000000194	Gpr107	1415	1619	1298.999	1608.001	1810	1732.001	1565	1695
ENSMUSG00000000197	Nalcn	0	0	0	0	0	0	0	0
ENSMUSG00000000202	Btbd17	0	0	0	0	2	0	0	0
ENSMUSG00000000204	Slfn4	60.448	176	161	104.037	153.032	142.033	44.008	81
ENSMUSG00000000214	Th	0	0	0	0	0	0	0	0
ENSMUSG00000000215	Ins2	0	0	0	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	0	0	0	0	0	0	0	0
ENSMUSG00000000223	Drp2	16	23	9	28	45	32	16	26
ENSMUSG00000000244	Tspan32	829	866	941	721.001	531	486	455.001	489.999
ENSMUSG00000000247	Lhx2	6	25	11	13	14	15	13	19
ENSMUSG00000000248	Clec2g	3	6	4	3	1	1	1	2
ENSMUSG00000000253	Gmpr	127	128	71	157	319	300	225	238
ENSMUSG00000000263	Glra1	0	0	0	0	0	0	0	0
ENSMUSG00000000266	Mid2	0	0	0	0	3	0	0	0
ENSMUSG00000000275	Trim25	2671	3351	3302	2989	5561	4405	3153	3729
ENSMUSG00000000276	Dgke	281	298	258.001	389	497	396.001	317	390.999
