"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"C1qc",3.38524249189449e-129,-2.44712235478724,0.345,0.898,5.42755928725443e-125
"C1qb",3.28597093326386e-128,-2.25566706821493,0.644,0.962,5.26839719730194e-124
"C1qa",3.68253971962631e-126,-2.35508697930493,0.492,0.936,5.90421593247686e-122
"Apoe",5.31887823051114e-108,-2.61596356212942,0.639,0.957,8.5277574669785e-104
"Mafb",5.55360880023158e-94,-2.00791579025179,0.126,0.683,8.90410098941128e-90
"Selenop",2.30434948920914e-75,-1.93494702176314,0.693,0.859,3.69456353604902e-71
"Napsa",5.75632685927951e-66,1.13680979941961,0.821,0.352,9.22911885348284e-62
"Ms4a7",4.01570858881369e-63,-1.79321617274818,0.223,0.63,6.438385580445e-59
"Cd81",5.07330015038069e-58,-1.16889071219414,0.792,0.859,8.13402213110536e-54
"Cd52",1.90088994492857e-55,0.632472674010067,0.996,0.967,3.04769684870398e-51
"S100a6",3.32207180374522e-54,0.919048596813155,0.932,0.62,5.32627772294471e-50
"Itm2b",3.79497098012985e-54,-0.824190418877918,0.986,0.984,6.08447697244218e-50
"Pf4",1.42561580445133e-53,-2.20333539469572,0.245,0.622,2.28568981927681e-49
"Tmsb4x",7.21870966604198e-53,0.374485889486467,1,1,1.15737572075651e-48
"Ftl1",1.14388160249172e-50,-0.594863124015076,0.999,1,1.83398537327498e-46
"Cd209a",3.8367738068871e-50,1.68955729521199,0.63,0.232,6.15149944458209e-46
"Srgn",5.15916813050433e-48,0.659592942055848,0.993,0.972,8.27169426363759e-44
"Clec4b1",1.39779567952076e-47,0.894021392366225,0.735,0.324,2.24108581297563e-43
"Cd63",3.69885380222589e-47,-1.2228897039402,0.302,0.653,5.93037230110877e-43
"S100a4",5.96199747235222e-47,0.906623608533165,0.863,0.477,9.55887054742232e-43
"Lsp1",1.41158919043218e-45,0.773584259798302,0.956,0.715,2.26320094901991e-41
"Ltb4r1",3.87739977964819e-45,0.829055711482859,0.476,0.102,6.21663506670995e-41
"Tmem37",1.05806102535023e-42,-1.00358247407773,0.082,0.388,1.69638924194403e-38
"Cst3",2.24185689044688e-41,0.701579758802744,1,1,3.59436915245348e-37
"Igf1",6.47668439713225e-40,-1.00404381327558,0.057,0.339,1.03840680939221e-35
"Lgmn",6.5947684460308e-40,-0.922243963214823,0.774,0.826,1.05733922495212e-35
"Tmsb10",3.14777439045951e-38,0.597159611596491,0.972,0.796,5.04682668022373e-34
"Fxyd5",1.44675867692817e-35,0.517702302105173,0.981,0.936,2.31958818671894e-31
"Qpct",3.30787514486984e-35,0.621573438991091,0.323,0.048,5.30351621976981e-31
"Gm2a",6.21108733063285e-34,0.726431295986213,0.893,0.688,9.95823631720365e-30
"Bhlhe40",9.92076399154101e-34,0.758777856779967,0.575,0.222,1.59059609076377e-29
"Klra17",1.16198399418672e-33,0.488681169453001,0.255,0.016,1.86300893787956e-29
"Serinc3",4.7549564097112e-33,-0.98140737845709,0.547,0.696,7.62362161168996e-29
"S100a11",2.40670999682056e-32,0.673852732387915,0.932,0.747,3.8586781379024e-28
