"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cd209a",3.8367738068871e-50,1.68955729521199,0.63,0.232,6.15149944458209e-46
"Lyz1",1.30004464466938e-24,1.29705454526278,0.776,0.572,2.08436157879841e-20
"Napsa",5.75632685927951e-66,1.13680979941961,0.821,0.352,9.22911885348284e-62
"Ccl17",5.51789923739322e-11,1.05877422094898,0.206,0.079,8.84684784731254e-07
"Tnfsf9",1.51072092202291e-31,1.04704562773033,0.632,0.316,2.42213885427933e-27
"Areg",2.42296883193359e-11,0.981958887563746,0.337,0.176,3.88474592823913e-07
"S100a6",3.32207180374522e-54,0.919048596813155,0.932,0.62,5.32627772294471e-50
"S100a4",5.96199747235222e-47,0.906623608533165,0.863,0.477,9.55887054742232e-43
"Clec4b1",1.39779567952076e-47,0.894021392366225,0.735,0.324,2.24108581297563e-43
"Ccrl2",2.45597068464088e-31,0.86740278673522,0.863,0.638,3.93765779868472e-27
"Ltb4r1",3.87739977964819e-45,0.829055711482859,0.476,0.102,6.21663506670995e-41
"Clec4n",1.90619951351371e-16,0.815361718672863,0.566,0.345,3.05620968001653e-12
"Lsp1",1.41158919043218e-45,0.773584259798302,0.956,0.715,2.26320094901991e-41
"Bhlhe40",9.92076399154101e-34,0.758777856779967,0.575,0.222,1.59059609076377e-29
"Gm2a",6.21108733063285e-34,0.726431295986213,0.893,0.688,9.95823631720365e-30
"H2-Oa",2.46942940279542e-30,0.72037081117464,0.411,0.117,3.9592361615019e-26
"Lmo4",2.37474463725684e-27,0.709069431976119,0.524,0.215,3.80742807691389e-23
"Cst3",2.24185689044688e-41,0.701579758802744,1,1,3.59436915245348e-37
"Tnip3",2.54058981476475e-22,0.699587014283579,0.657,0.368,4.07332765001233e-18
"Mcemp1",1.52959419230723e-31,0.690012795261252,0.496,0.169,2.45239836852618e-27
"S100a11",2.40670999682056e-32,0.673852732387915,0.932,0.747,3.8586781379024e-28
"Plaur",5.30856980023789e-26,0.67275350094481,0.82,0.554,8.51122996072142e-22
"Srgn",5.15916813050433e-48,0.659592942055848,0.993,0.972,8.27169426363759e-44
"Mgl2",9.62825853312154e-20,0.639888135660872,0.9,0.836,1.54369869061538e-15
"Il1r2",6.38698184442949e-13,0.637230063057197,0.245,0.092,1.02402479911738e-08
"Cd52",1.90088994492857e-55,0.632472674010067,0.996,0.967,3.04769684870398e-51
"Qpct",3.30787514486984e-35,0.621573438991091,0.323,0.048,5.30351621976981e-31
"Rgcc",1.20088053192511e-14,0.614020270906446,0.231,0.074,1.92537175683553e-10
"Ccr1",5.94961295085208e-22,0.608635754219645,0.496,0.222,9.53901444410113e-18
"Ptgs2",4.05370751172825e-13,0.608272306444204,0.386,0.197,6.4993092535539e-09
"Tmsb10",3.14777439045951e-38,0.597159611596491,0.972,0.796,5.04682668022373e-34
"Olfm1",3.44916132151972e-31,0.591535308466254,0.639,0.289,5.53004034679257e-27
"Ear2",5.54018185697486e-21,0.590877782428507,0.452,0.188,8.88257357128779e-17
"Ifi27l2a",4.7195462549278e-20,0.572829628597638,0.956,0.896,7.56684851052574e-16
"Il1a",1.46582485964315e-07,0.568076808674378,0.413,0.275,0.00235015699746586
"Spp1",2.07423494398489e-16,0.567438866858996,0.234,0.067,3.32562088569097e-12
"Naaa",6.61187849174169e-22,0.559756757959355,0.647,0.375,1.06008247858095e-17
"Cd209b",1.69938062256939e-10,0.55792200303355,0.116,0.025,2.7246169521655e-06
"Wfdc17",2.76060121439716e-17,0.529413904646866,0.891,0.73,4.42607192704296e-13
"Bcl2a1a",1.12324729250814e-15,0.521293945528551,0.675,0.447,1.8009023840783e-11
"Crip1",4.97978771152078e-28,0.520280268369683,0.999,0.977,7.98409363788127e-24
"Fxyd5",1.44675867692817e-35,0.517702302105173,0.981,0.936,2.31958818671894e-31
"Cdkn1a",4.30375801475203e-16,0.514191119697697,0.934,0.824,6.90021522505193e-12
"Cfp",2.91316338479369e-19,0.511873342505331,0.695,0.414,4.67067485483973e-15
"S100a10",2.01450690256976e-23,0.511164697364723,0.956,0.803,3.2298589168901e-19
"Lgals3",2.00393226676993e-28,0.510436785300735,0.971,0.745,3.21290460331222e-24
"Mmp12",1.79823391840524e-09,0.510092084256516,0.554,0.39,2.88310844137912e-05
"Icam1",2.34798326043892e-12,0.50475588596131,0.687,0.493,3.76452156146173e-08
"Alcam",1.09982620268934e-24,0.502550457805554,0.457,0.174,1.76335135077182e-20
"Capg",5.41920830137311e-18,0.499099449607995,0.77,0.541,8.6886166695915e-14
"Bcl2a1d",9.7762897526135e-18,0.497798093876074,0.723,0.485,1.56743253603652e-13
"Bri3bp",3.06683932424501e-26,0.493895756893779,0.332,0.084,4.91706348856203e-22
"Bcl2a1b",2.67998817081956e-17,0.49369202388944,0.936,0.822,4.29682503427501e-13
"Emb",1.35206935377386e-25,0.493560352202892,0.666,0.352,2.16777279490563e-21
"Klra17",1.16198399418672e-33,0.488681169453001,0.255,0.016,1.86300893787956e-29
