"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mafb",3.44565559868881e-226,-2.96940227324347,0.038,0.886,5.52441962137776e-222
"Cd163",4.03730880809117e-136,-2.08646315732022,0.033,0.63,6.47301721201257e-132
"Gm826",2.64079238787447e-123,1.28689499958231,0.698,0.117,4.23398243547914e-119
"Vsig4",5.31506483112274e-102,-1.22215853277459,0.82,0.931,8.5216434437391e-98
"Lyz1",2.34424263903447e-85,1.25020749864273,0.591,0.141,3.75852422316397e-81
"Folr2",3.64714678076969e-72,-1.18692969913811,0.558,0.829,5.84747043360804e-68
"Selenop",5.89789375049054e-70,-1.02198435040659,0.769,0.899,9.45609305016148e-66
"Pdgfc",1.91104282652542e-67,-1.17094371902733,0.239,0.662,3.06397496376821e-63
"Psd3",5.0189111112801e-63,-1.25387213407478,0.316,0.694,8.04682018471539e-59
"Ly6a",1.17570316567717e-60,1.02994895298233,0.888,0.743,1.88500488553021e-56
"Cd209f",3.48488109922852e-56,-0.826703685547326,0.005,0.292,5.58730986639309e-52
"Psap",1.84279914229313e-50,0.531000905408315,0.982,0.971,2.95455986483857e-46
"Cdh5",3.943394676611e-40,-0.697057602889446,0.661,0.849,6.32244468501042e-36
"Adamdec1",7.49929271036691e-40,0.925681345702368,0.563,0.303,1.20236160025313e-35
"Cxcl13",1.55352005672746e-36,-1.00927044960378,0.107,0.381,2.49075870695114e-32
"Fcna",1.62666818166903e-36,-0.85301527799028,0.798,0.881,2.60803709566996e-32
"Cd209g",3.82218150927737e-36,-0.456959213984933,0,0.186,6.12810361382441e-32
"Pecam1",8.1980257630657e-35,0.760362519712003,0.631,0.389,1.31438947059232e-30
"Havcr2",1.86514932427955e-33,0.564600575129508,0.295,0.069,2.99039391161741e-29
"Pf4",2.52637675493839e-31,-0.535724619289388,0.055,0.273,4.05053985119272e-27
"Slc9a9",4.76529967603279e-31,-0.686168514236381,0.801,0.883,7.64020497058337e-27
"Laptm5",6.23927035802289e-31,0.405183418510164,0.973,0.95,1.00034221650181e-26
"Cd9",1.09167762252102e-29,0.646029209329424,0.327,0.1,1.75028673218796e-25
"Lepr",1.18372942892612e-29,0.938889259800757,0.462,0.221,1.89787339339725e-25
"Bank1",2.58010025171455e-29,-0.673744532197552,0.841,0.895,4.13667473357394e-25
"Ccl24",1.7309066619244e-28,-0.823500837522035,0.529,0.742,2.7751626510634e-24
"Retnla",2.15999609348895e-28,-0.405902979344472,0.085,0.306,3.46312173669083e-24
"Ctss",6.47928292624473e-28,0.369314520205708,0.963,0.951,1.03882343156482e-23
"Zdhhc14",9.96846770561946e-28,-0.653676470246032,0.734,0.867,1.59824442724197e-23
"Rtn1",2.64262322108525e-26,0.681886650611347,0.578,0.358,4.23691781036598e-22
"Hdac9",3.62957944836388e-26,-0.647814055106232,0.881,0.921,5.8193047295618e-22
"C4b",4.08298101726635e-26,0.541652911530031,0.894,0.84,6.54624346498314e-22
"Cdk6",9.7503415951706e-26,-0.462977055897797,0.106,0.321,1.5632722679537e-21
"Lsp1",1.24581237161956e-25,0.628346161533776,0.433,0.216,1.99741097541765e-21
"Ccdc148",4.64393414828759e-24,-0.461575425417514,0.206,0.451,7.44561961994949e-20
"Rnf150",1.03185007125094e-22,-0.446672664141917,0.138,0.353,1.65436521923663e-18
"Fth1",1.5171445380401e-22,0.474858202494934,0.98,0.968,2.43243783783969e-18
"Chp2",1.86873324276748e-22,-0.389056029222128,0.199,0.43,2.9961400081291e-18
"Timd4",6.06115818826241e-22,-0.505881476632768,0.847,0.888,9.71785492324112e-18
"B4galt6",1.02821354155192e-21,-0.693912882741537,0.459,0.654,1.64853477117019e-17
"Arhgdib",1.13315509459827e-21,0.467310757789282,0.819,0.751,1.8167875631694e-17
"Kcna2",2.42516036983354e-21,-0.576304187351232,0.331,0.555,3.88825962095412e-17
"Ninj1",6.23183446533335e-21,-0.492963819632179,0.632,0.752,9.99150019826896e-17
"Rplp1",6.4325708719018e-21,0.291897265181504,0.984,0.969,1.03133408789202e-16
"Tanc2",2.08439829062737e-20,-0.646425804217641,0.641,0.785,3.34191577936286e-16
"Pcolce2",4.11897734663039e-20,-0.515276186008749,0.413,0.624,6.60395637985251e-16
"Sirpb1c",1.9249895663719e-19,0.413863321577142,0.306,0.129,3.08633577176407e-15
"Stap1",3.28475822813909e-19,0.432562062542689,0.265,0.096,5.2664528671754e-15
"Actg1",3.870730137561e-19,0.396860143783376,0.944,0.923,6.20594162955155e-15
"Rgs2",4.42347351066765e-19,0.489332792926088,0.943,0.893,7.09215507965344e-15
"Cybb",5.46308448570938e-19,0.307184928725419,0.975,0.96,8.75896335593784e-15
"Cd300lf",6.87042661325515e-19,0.5413009522994,0.635,0.466,1.1015354989032e-14
"Sat1",1.17508133714439e-18,0.320297125991724,0.978,0.969,1.8840079078436e-14
"Arhgap24",1.82102115554309e-18,0.467070184400184,0.256,0.091,2.91964321868224e-14
"Wfdc17",2.62492372148843e-18,-0.540268268521229,0.947,0.944,4.2085402026624e-14
"Cadm1",2.69237937889896e-18,0.378817000407706,0.934,0.911,4.31669185818871e-14
"Rps9",3.46480168605626e-18,0.314369444061834,0.965,0.944,5.55511654325401e-14
"Alox5ap",3.70344289791291e-18,0.503469609749489,0.791,0.692,5.93772999822377e-14
