"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm826",2.64079238787447e-123,1.28689499958231,0.698,0.117,4.23398243547914e-119
"Lyz1",2.34424263903447e-85,1.25020749864273,0.591,0.141,3.75852422316397e-81
"Ly6a",1.17570316567717e-60,1.02994895298233,0.888,0.743,1.88500488553021e-56
"Lepr",1.18372942892612e-29,0.938889259800757,0.462,0.221,1.89787339339725e-25
"Adamdec1",7.49929271036691e-40,0.925681345702368,0.563,0.303,1.20236160025313e-35
"Pecam1",8.1980257630657e-35,0.760362519712003,0.631,0.389,1.31438947059232e-30
"Cytip",1.04768852452941e-17,0.718044802310061,0.635,0.468,1.679759011378e-13
"Rtn1",2.64262322108525e-26,0.681886650611347,0.578,0.358,4.23691781036598e-22
"Fabp7",1.62842318597953e-14,0.64927589582302,0.728,0.644,2.61085089408098e-10
"Cd9",1.09167762252102e-29,0.646029209329424,0.327,0.1,1.75028673218796e-25
"Lsp1",1.24581237161956e-25,0.628346161533776,0.433,0.216,1.99741097541765e-21
"Havcr2",1.86514932427955e-33,0.564600575129508,0.295,0.069,2.99039391161741e-29
"C4b",4.08298101726635e-26,0.541652911530031,0.894,0.84,6.54624346498314e-22
"Cd300lf",6.87042661325515e-19,0.5413009522994,0.635,0.466,1.1015354989032e-14
"Cd207",6.23715771264112e-15,0.540987631475907,0.652,0.523,1.00000349606775e-10
"Hist1h1c",1.80209264026084e-11,0.532988172503241,0.497,0.353,2.8892951301302e-07
"Psap",1.84279914229313e-50,0.531000905408315,0.982,0.971,2.95455986483857e-46
"Alox5ap",3.70344289791291e-18,0.503469609749489,0.791,0.692,5.93772999822377e-14
"Slc16a9",1.47971473274225e-10,0.501444919433117,0.649,0.59,2.37242663100564e-06
"Rgs2",4.42347351066765e-19,0.489332792926088,0.943,0.893,7.09215507965344e-15
"Lmo4",4.95293897830039e-08,0.486293839641471,0.468,0.359,0.000794104706390901
"Fth1",1.5171445380401e-22,0.474858202494934,0.98,0.968,2.43243783783969e-18
"Tnfaip2",5.29433853592339e-15,0.474660840410795,0.906,0.875,8.48841297464597e-11
"Arhgdib",1.13315509459827e-21,0.467310757789282,0.819,0.751,1.8167875631694e-17
"Arhgap24",1.82102115554309e-18,0.467070184400184,0.256,0.091,2.91964321868224e-14
"Fxyd5",1.66228096861285e-15,0.456704188636713,0.677,0.587,2.66513507697698e-11
"Abr",3.08303808199309e-15,0.456431199279402,0.819,0.736,4.94303495685952e-11
"Ksr2",4.54949556598768e-11,0.453417556500475,0.686,0.619,7.29420624094804e-07
"Pltp",4.0768341510338e-15,0.450449063597146,0.857,0.793,6.5363881943525e-11
"Itgb2",3.8202277824508e-13,0.450009203637532,0.648,0.542,6.12497120360338e-09
"Adgb",1.73857572664703e-12,0.444542853872624,0.773,0.695,2.78745846253318e-08
"Sgk1",4.36598218309893e-10,0.432656567504675,0.81,0.739,6.99997923416251e-06
"Stap1",3.28475822813909e-19,0.432562062542689,0.265,0.096,5.2664528671754e-15
"Plac8",2.70470761412907e-09,0.430793387266318,0.696,0.607,4.33645771773314e-05
"Clec4n",5.10904743300764e-14,0.427931452778945,0.714,0.611,8.19133574934115e-10
"Ciita",1.14086870033672e-11,0.42698313267378,0.514,0.381,1.82915478724986e-07
"Coro1a",7.53265075228109e-12,0.422052301448722,0.628,0.528,1.20770989511323e-07
"Hebp1",1.34665795144089e-08,0.421381556457713,0.811,0.773,0.000215909669354517
"Fn1",7.20254711778128e-12,0.41891185820385,0.677,0.559,1.15478437939387e-07
"Sirpb1c",1.9249895663719e-19,0.413863321577142,0.306,0.129,3.08633577176407e-15
"Cd300lb",2.12032159585677e-08,0.410714467274676,0.492,0.38,0.000339951161463716
"Laptm5",6.23927035802289e-31,0.405183418510164,0.973,0.95,1.00034221650181e-26
"Pot1b",3.97237840343243e-12,0.405167123813112,0.407,0.261,6.36891429422322e-08
"Fcgr4",3.2670578342473e-11,0.403492343370692,0.836,0.779,5.2380738256487e-07
"Actg1",3.870730137561e-19,0.396860143783376,0.944,0.923,6.20594162955155e-15
"Ctsd",1.24865951762865e-17,0.387627889227304,0.936,0.939,2.00197580461401e-13
"Tspan13",1.52806361709927e-07,0.386436333557086,0.394,0.284,0.00244994439729526
"Klra2",3.94861161415479e-13,0.380830344415563,0.82,0.76,6.33080900097437e-09
"Msrb1",8.05448124711674e-11,0.379448071082834,0.741,0.7,1.29137497835023e-06
"Myo1f",2.60568586227485e-08,0.379127302974907,0.604,0.524,0.000417769614298527
"Cadm1",2.69237937889896e-18,0.378817000407706,0.934,0.911,4.31669185818871e-14
"Cttnbp2nl",3.79024881281936e-09,0.377297451395934,0.572,0.475,6.07690592159327e-05
"Sowahc",1.55141468426661e-10,0.376546000124037,0.765,0.663,2.48738316328465e-06
"Cd300e",1.61560723967789e-10,0.370438519519249,0.451,0.335,2.59030308737556e-06
"Ctss",6.47928292624473e-28,0.369314520205708,0.963,0.951,1.03882343156482e-23
"Gm8797",1.88104217392443e-10,0.369269694452577,0.39,0.257,3.01587491745304e-06
"Lpl",1.88250654967205e-07,0.367144121048716,0.898,0.861,0.00301822275108921
"Rps26",3.4929881160218e-15,0.366939153659981,0.927,0.871,5.60030784641776e-11
"Kcnj10",9.02472937376776e-09,0.362491740134828,0.454,0.349,0.000144693486049619
"Itga4",6.24671112140692e-07,0.361108551799618,0.643,0.587,0.0100153519409517
"Treml4",3.46040098644251e-10,0.360444501868695,0.634,0.55,5.54806090156327e-06
"Apbb1ip",9.6822643270552e-10,0.355552244339836,0.832,0.786,1.55235743955676e-05
"Amz1",8.74617727211846e-11,0.353654954089639,0.364,0.232,1.40227460203875e-06
"F11r",8.41344815037813e-11,0.353369224924059,0.537,0.417,1.34892814195013e-06
"Siglece",1.65750946536346e-08,0.347316019124507,0.768,0.712,0.000265748492581724
"Tmed10",4.6126789788359e-13,0.346672495675837,0.859,0.822,7.3955082067676e-09
"Cox7a2l",2.22224561243608e-08,0.346052340021393,0.75,0.7,0.000356292639041877
"Clec4a3",6.46445321133516e-07,0.342223614129897,0.738,0.719,0.0103644578337337
"Dusp5",6.9361486511435e-10,0.340670552186427,0.213,0.103,1.11207271323784e-05
"Slc29a1",9.86077069882768e-11,0.339898974335748,0.757,0.708,1.58097736614304e-06
"Pld4",1.84718057825147e-11,0.337214230866815,0.829,0.788,2.96158462111058e-07
