"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm826",0,1.5649160277491,0.887,0.015,0
"Mafb",0,-2.48990410871248,0.013,0.966,0
"Cd5l",0,-2.96187759222738,0.128,0.987,0
"Cd52",0,1.7456421234026,0.996,0.938,0
"C1qb",0,-3.50540457935178,0.672,0.995,0
"C1qc",0,-3.76129477941343,0.168,0.994,0
"C1qa",0,-4.65631315300635,0.184,0.997,0
"Pf4",0,-2.67581768873773,0.572,0.95,0
"Ccl24",0,-2.0171258791618,0.505,0.958,0
"Napsa",0,1.52862929144339,0.789,0.094,0
"Coro1a",0,1.2754313169533,0.928,0.419,0
"Ednrb",0,-1.69834634620067,0.912,0.994,0
"Ctsh",0,0.981224055680775,0.996,0.963,0
"Id2",0,1.48824910015524,0.996,0.89,0
"Dab2",0,-1.45452117352617,0.35,0.904,0
"Pitpnc1",2.40358709733326e-291,-1.56703205247335,0.727,0.949,3.85367119315442e-287
"Vsig4",1.11597170006039e-289,-2.50171980270384,0.028,0.561,1.78923742670682e-285
"Calml4",6.39440161429618e-289,-0.988862408296542,0.329,0.847,1.02521441082011e-284
"Hp",1.5514370189147e-280,1.42378391640973,0.961,0.744,2.48741897242594e-276
"Mpeg1",3.956960608169e-276,0.9176610152217,0.996,0.947,6.34419494307736e-272
"Apoe",6.26475013743121e-271,-1.86740313118772,0.938,0.999,1.00442738953435e-266
"Tyrobp",2.55950706318165e-258,0.63388450455444,0.999,0.996,4.10365767439915e-254
"Cxcl13",2.71128165347443e-257,-3.25774590877493,0.017,0.497,4.34699787501555e-253
"Timp2",1.87206973261979e-250,-0.704806458705232,0.996,0.996,3.00148940230931e-246
"Pglyrp1",5.53249328693376e-247,1.5108590017185,0.933,0.626,8.87024648694089e-243
"Fth1",1.03223114575284e-243,0.785740799267703,1,0.996,1.65497619598552e-239
"Ftl1",6.25171794976573e-242,-0.698057906490715,0.998,0.998,1.00233793888594e-237
"Tmsb4x",2.95690069498547e-241,0.581316431779912,1,1,4.7407988842702e-237
"Plek",6.63701002475355e-240,-0.854961668670833,0.977,0.994,1.06411181726874e-235
"Tgfbi",3.42644753621398e-237,-1.12856264910655,0.247,0.742,5.49362333481188e-233
"Itsn1",5.51868109572035e-231,-1.17158882225394,0.856,0.98,8.84810140076844e-227
"Gbp2b",4.04820687477009e-230,-1.09976116947128,0.4,0.819,6.49049008231888e-226
"Fcna",2.06222218819584e-227,-1.10825656487881,0.713,0.936,3.30636083433439e-223
"Rasgrp3",7.79785726959199e-227,-0.994582630139154,0.266,0.772,1.25023045603368e-222
"Ctss",4.16164342651424e-226,0.591018444947633,0.998,0.994,6.67236290573028e-222
"Lyz2",3.25768226690452e-217,-0.675293946415018,0.999,1,5.22304197852802e-213
"Fxyd5",1.00608839872287e-215,0.677767281720557,1,0.995,1.61306152967238e-211
"Mcemp1",1.36320281193112e-213,0.773340763073483,0.995,0.962,2.18562306836916e-209
"Emb",8.12920449439024e-212,0.924474533356037,0.688,0.17,1.30335535658559e-207
"Pla2g7",1.11247993097053e-205,-1.17177850868719,0.363,0.8,1.78363907332505e-201
"Gapdh",4.49035615580783e-199,0.654370202442466,0.997,0.994,7.19938802460669e-195
"Plxdc2",1.22678631359134e-197,-0.957956845509011,0.992,0.997,1.966906496581e-193
"Hpgd",1.69507560293171e-195,1.00188053454032,0.656,0.17,2.71771471418042e-191
"Ninj1",8.46487570447313e-195,-0.857923418840929,0.796,0.952,1.35717352169818e-190
"Ucp2",1.89879852939822e-193,0.661680180839584,0.993,0.983,3.04434368218417e-189
"Fcor",1.33479188386397e-191,0.936196188471524,0.946,0.747,2.14007182739911e-187
"Selenop",2.14988557882645e-190,-0.94370824765691,0.894,0.975,3.44691154853244e-186
"Lyz1",2.42171938534645e-189,3.31757128846757,0.929,0.872,3.88274269052596e-185
