"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Lyz1",2.42171938534645e-189,3.31757128846757,0.929,0.872,3.88274269052596e-185
"Slpi",3.65627973842267e-31,2.05837895650337,0.681,0.577,5.86211330461306e-27
"Cd52",0,1.7456421234026,0.996,0.938,0
"Chil3",4.99578088419402e-107,1.66455382654968,0.3,0.008,8.00973549162828e-103
"Gm826",0,1.5649160277491,0.887,0.015,0
"Napsa",0,1.52862929144339,0.789,0.094,0
"Pglyrp1",5.53249328693376e-247,1.5108590017185,0.933,0.626,8.87024648694089e-243
"Id2",0,1.48824910015524,0.996,0.89,0
"Hp",1.5514370189147e-280,1.42378391640973,0.961,0.744,2.48741897242594e-276
"Coro1a",0,1.2754313169533,0.928,0.419,0
"Hpgd",1.69507560293171e-195,1.00188053454032,0.656,0.17,2.71771471418042e-191
"Sirpb1c",1.6532275292113e-171,0.983108019777389,0.592,0.149,2.65061969758447e-167
"Ctsh",0,0.981224055680775,0.996,0.963,0
"Fabp4",1.36991910806137e-120,0.97524492885277,0.973,0.947,2.19639130595479e-116
"Fabp7",5.76651877693564e-153,0.974142658341634,0.889,0.633,9.24545955506091e-149
"Fcor",1.33479188386397e-191,0.936196188471524,0.946,0.747,2.14007182739911e-187
"Emb",8.12920449439024e-212,0.924474533356037,0.688,0.17,1.30335535658559e-207
"Mpeg1",3.956960608169e-276,0.9176610152217,0.996,0.947,6.34419494307736e-272
"Xylt1",9.09037418379724e-170,0.916754202098784,0.888,0.622,1.45745969288821e-165
"S100a6",2.73112850582259e-93,0.89418911174209,0.928,0.747,4.37881833338537e-89
"Axl",1.05168465466423e-157,0.872671421233038,0.604,0.173,1.68616600682315e-153
"Fth1",1.03223114575284e-243,0.785740799267703,1,0.996,1.65497619598552e-239
"Chn2",2.63169375472779e-124,0.781915595695243,0.822,0.521,4.21939459695506e-120
"H2afz",2.27173543181774e-168,0.775754035000483,0.996,0.982,3.64227341783339e-164
"Mcemp1",1.36320281193112e-213,0.773340763073483,0.995,0.962,2.18562306836916e-209
"Ccnd1",2.58537924341964e-34,0.737888865658337,0.76,0.67,4.1451385409747e-30
"Dock10",8.59606487017548e-124,0.731133803360252,0.932,0.79,1.37820708063524e-119
"Bcam",1.30284510695275e-133,0.722239633172779,0.858,0.615,2.08885155997734e-129
"Cd24a",1.56750167312387e-128,0.718567214466164,0.938,0.737,2.51317543251949e-124
"Pilra",7.33821278103939e-181,0.718332637576314,0.983,0.912,1.17653565518405e-176
"Oscp1",1.88028518151879e-166,0.696991378019657,0.696,0.254,3.01466123152907e-162
"Klra2",9.71349088983726e-134,0.693338321615851,0.905,0.733,1.55736399436761e-129
"Pde3b",1.13724627707634e-94,0.689685273888539,0.925,0.811,1.8233469560365e-90
"Tmsb10",1.40196997416054e-97,0.683489180340992,0.895,0.713,2.2477784595716e-93
"Thada",2.33813186634746e-82,0.682479069853329,0.798,0.602,3.74872682131488e-78
"Fxyd5",1.00608839872287e-215,0.677767281720557,1,0.995,1.61306152967238e-211
"Pid1",4.78693653703062e-103,0.674926904072854,0.997,0.988,7.67489534982119e-99
"Setbp1",7.09324008077213e-90,0.667682749950326,0.582,0.263,1.1372591821502e-85
"Clec12a",5.2686465411524e-186,0.66710078286607,0.616,0.135,8.44722099942965e-182
"Ucp2",1.89879852939822e-193,0.661680180839584,0.993,0.983,3.04434368218417e-189
"Rassf3",2.14133733805458e-136,0.660696614874979,0.984,0.953,3.43320615410291e-132
