"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Lyz1",3.76073763308747e-70,1.32205238779744,0.24,0.02,6.02959064712913e-66
"Ptgs2",2.58783485751453e-100,1.02364559279905,0.938,0.826,4.14907562705304e-96
"Nr4a2",1.46685310313505e-63,0.840421686228816,0.795,0.59,2.35180558025642e-59
"St8sia4",4.00502753206816e-46,0.82935286858917,0.68,0.469,6.42126064216488e-42
"Ccr7",6.43282780913285e-32,0.788352418167758,0.66,0.5,1.03137528263827e-27
"Prkce",4.59922954105451e-58,0.783928928486322,0.801,0.597,7.37394472317269e-54
"Rpl5",6.01790165204028e-98,0.74166288131485,0.902,0.781,9.64850171871618e-94
"Rpl12",5.29067625050452e-93,0.73240073079419,0.916,0.845,8.4825412324339e-89
"Rpl3",1.32580915101941e-94,0.719541933327103,0.932,0.855,2.12566981182941e-90
"Aldoa",5.98546069701474e-63,0.694781872855796,0.844,0.717,9.59648913552374e-59
"Nr4a3",2.34259086994557e-50,0.690994772433987,0.858,0.713,3.75587594178374e-46
"Ctnna1",3.461309400257e-33,0.690247099936471,0.572,0.388,5.54951736143205e-29
"Pik3r1",2.13310482078343e-36,0.688919650232654,0.657,0.456,3.42000695916207e-32
"Pabpc1",5.39161893432414e-83,0.682320992994322,0.916,0.807,8.64438263740189e-79
"Gapdh",9.34018093762946e-84,0.667952571294771,0.945,0.906,1.49751120973013e-79
"Gsn",4.26523661733126e-64,0.665107367502796,0.658,0.422,6.8384538685672e-60
"Id2",8.54750298665126e-38,0.657877631753514,0.761,0.599,1.3704211538498e-33
"Slc7a11",1.05075610791841e-34,0.657759215020347,0.735,0.566,1.68467726782559e-30
"Gdi2",4.21310459201336e-59,0.645581786837361,0.853,0.729,6.75487059237501e-55
"Mmp12",3.32798490189056e-13,0.642756269176824,0.214,0.116,5.33575819320114e-09
"Rps18",1.46786649199857e-75,0.630449388374813,0.936,0.892,2.35343034662131e-71
"Rps4x",1.44233876813035e-82,0.615596495156271,0.943,0.902,2.31250174694339e-78
"Gdpd3",7.10881928838354e-63,0.61358029118037,0.369,0.122,1.13975699650653e-58
"Nrp2",9.36447453079334e-26,0.613277947798104,0.355,0.196,1.5014062015221e-21
"P2ry10",1.33493010216546e-59,0.609280303622304,0.47,0.194,2.14029343280189e-55
"Rack1",4.28748120527031e-85,0.607401692168211,0.939,0.88,6.87411861640988e-81
"Itga4",9.27412572582225e-43,0.588808374832702,0.752,0.552,1.48692057762108e-38
"Eef1a1",1.82486665192603e-85,0.583371772840354,0.972,0.943,2.92580870303301e-81
"mt-Nd2",2.5892293483907e-69,0.581601266481578,0.944,0.816,4.15131141427482e-65
"Rps3a1",1.32534212435227e-81,0.580188758331047,0.955,0.914,2.124921027974e-77
"Cxcl1",6.62936134309797e-24,0.579168479940879,0.179,0.058,1.0628855041389e-19
"Fam129a",2.46131801779021e-53,0.575115095256107,0.517,0.261,3.94623117792304e-49
"Gm2a",1.33362708946845e-62,0.573892157561328,0.835,0.662,2.13820431254477e-58
"Rpl14",1.22730021611509e-68,0.57028266503542,0.914,0.864,1.96773043649733e-64
"Nap1l1",3.9500619244449e-61,0.569522010772219,0.687,0.44,6.33313428346251e-57
"Rpl7",4.9950738545378e-76,0.569283260082959,0.928,0.867,8.00860191098046e-72
"Gpi1",3.48569774358419e-60,0.55569040914094,0.8,0.619,5.58861919228853e-56
"Dennd4a",1.4674941862559e-39,0.554687614646984,0.941,0.874,2.35283342882408e-35
"Pgk1",3.51058272844797e-47,0.55452169001879,0.767,0.59,5.62851728852063e-43
"mt-Atp6",1.2305727360085e-91,0.549812343070939,0.994,0.988,1.97297726764244e-87
"Pltp",4.32362904963379e-44,0.549725709720304,0.576,0.352,6.93207445527785e-40
"Mmd",1.25223339008234e-28,0.549525919274533,0.459,0.284,2.00770579431902e-24
"Dusp16",2.89385159723048e-25,0.546773070781248,0.84,0.757,4.63971226583962e-21
"Lmo4",3.59430208000516e-31,0.545001464472614,0.833,0.709,5.76274452487228e-27
"Alcam",7.80588334407688e-27,0.534191025360335,0.675,0.472,1.25151727655585e-22
"Tbc1d4",4.19774304346823e-24,0.532083479188922,0.301,0.152,6.73024142159261e-20
"Mitf",8.81921245757763e-28,0.531168638097098,0.463,0.275,1.41398433332342e-23
"Rps27a",3.65738237710916e-82,0.52894798749319,0.957,0.937,5.86388116521912e-78
"Runx2",1.41493274731808e-30,0.527700602272701,0.473,0.285,2.26856167377508e-26
"Trps1",6.18943931220697e-39,0.525745805541654,0.961,0.871,9.92352804926144e-35
"Rab8b",1.3978031308171e-40,0.520012343676963,0.922,0.829,2.24109775963905e-36
"Cxcl2",3.39377880631542e-34,0.519124992618304,0.795,0.573,5.44124556016551e-30
"Eef1b2",8.11974808032103e-54,0.516318728276175,0.884,0.802,1.30183920971787e-49
"Jarid2",3.61403149258041e-34,0.515892137819944,0.913,0.826,5.79437669205418e-30
"Rps14",4.02052554286151e-84,0.509530245114713,0.953,0.924,6.44610860286986e-80
"Rps25",1.39013516709637e-73,0.508181385451165,0.935,0.907,2.22880371340561e-69
"Rpl4",9.28081498822086e-58,0.507229085699201,0.877,0.794,1.48799306706145e-53
"Rpsa",6.98463755074705e-66,0.507135185437892,0.967,0.933,1.11984693851127e-61
"Fnbp1",4.16741872981336e-34,0.506463985996785,0.761,0.6,6.68162244950976e-30
"Rplp0",2.48277625142494e-59,0.506206769873032,0.954,0.916,3.9806351639096e-55
"Rpl8",3.58740250364364e-73,0.504967798661192,0.962,0.922,5.75168243409185e-69
"Rpl10a",1.82449427824478e-55,0.503904731917776,0.93,0.862,2.92521167630985e-51
"Plbd1",1.90208258774427e-56,0.502587670498225,0.912,0.79,3.04960901293038e-52
"Areg",1.3360246468173e-11,0.501123387148408,0.173,0.09,2.14204831624218e-07
"Gfod1",4.43607178907858e-34,0.500488096338786,0.652,0.457,7.11235389942968e-30
"Map4k4",1.74046507402488e-37,0.50010172081805,0.949,0.859,2.79048765318409e-33
"mt-Co3",7.37154189200424e-81,0.498153496482366,0.994,0.989,1.18187931154504e-76
"Fam117b",9.9989303786644e-30,0.496162891239218,0.817,0.686,1.60312850761126e-25
"Antxr2",6.950071232397e-32,0.495531552364423,0.904,0.793,1.11430492069021e-27
"Myh9",1.49860712629987e-40,0.493041006034406,0.728,0.545,2.40271680559658e-36
"Tmem123",3.30762334987291e-42,0.490562557719104,0.833,0.69,5.30311251685123e-38
"Rps8",9.28983832960685e-70,0.486197317464823,0.969,0.945,1.48943977938587e-65
"Dennd5a",6.23813902018171e-32,0.481828363260609,0.782,0.638,1.00016082910573e-27
"Rps3",5.17356972515896e-56,0.481539211047524,0.931,0.893,8.29478434034736e-52
"Dock4",9.95122275845352e-23,0.479340686720688,0.753,0.612,1.59547954486285e-18
"mt-Nd1",2.94328796474663e-53,0.477650487436436,0.968,0.873,4.71897359387828e-49
"Ntng2",6.5042701218285e-17,0.474936181893116,0.305,0.186,1.04282962863276e-12
"Rftn1",5.05338797979228e-22,0.474281710632498,0.729,0.58,8.10209694800096e-18
"Zfp366",2.65244748092277e-24,0.466308225246795,0.253,0.112,4.25266904616348e-20
"Pid1",5.68264626073744e-15,0.463586058245228,0.508,0.38,9.11098674984035e-11
"Rpl15",2.10774123976606e-50,0.462511318673211,0.925,0.897,3.37934152971692e-46
"Rps5",6.33914802614479e-51,0.462435157709081,0.949,0.901,1.01635560303179e-46
"Cox7a2l",8.13478882749234e-46,0.461626057168838,0.816,0.673,1.30425069271185e-41
"Rps17",1.00019969833128e-51,0.461168977690424,0.905,0.871,1.60362017633454e-47
"mt-Co2",9.19308522326854e-79,0.459819308524084,0.996,0.985,1.47392735384665e-74
"Atp5b",2.98638015644588e-43,0.459482714670171,0.828,0.687,4.78806330482969e-39
"Rps6",3.18812985359213e-56,0.458911800493106,0.931,0.886,5.11152859426426e-52
"Tubb5",1.60895397902684e-41,0.457593746499281,0.697,0.498,2.57963591457374e-37
"Tkt",1.42217177961534e-41,0.45568492031808,0.827,0.687,2.28016801425727e-37
"Ext1",1.48641042884109e-22,0.455537513576085,0.823,0.69,2.38316184056092e-18
"Plcl1",1.51273114536311e-12,0.454817301948005,0.473,0.353,2.42536184536067e-08
"Rpl36a",4.84079477918271e-45,0.454233763853951,0.896,0.82,7.76124626946365e-41
"Stat4",4.6413610070002e-22,0.453707366179584,0.671,0.514,7.44149410252342e-18
"Mki67",4.45254303219788e-27,0.453043228560211,0.451,0.274,7.13876224352287e-23
"Ubash3b",9.20775100401958e-23,0.450494697323315,0.526,0.37,1.47627871847446e-18
"Myo1e",1.9243008535935e-21,0.446581288049012,0.683,0.515,3.08523155856646e-17
"Eef2",1.25454153735971e-50,0.446414906606238,0.885,0.802,2.01140644684882e-46
"Rgs10",1.15920060569339e-36,0.444883951513825,0.735,0.568,1.85854633110822e-32
"Mcemp1",4.6916715306372e-38,0.443953953766454,0.707,0.493,7.52215696507062e-34
"Eef1g",1.156557765004e-41,0.443315051389751,0.77,0.609,1.85430906463092e-37
"Lrrfip1",8.90364312617699e-41,0.441986688382057,0.871,0.762,1.42752110241996e-36
"Npm1",4.64069746002884e-46,0.441827412138831,0.877,0.766,7.44043023766424e-42
"F10",3.26784396379381e-16,0.441377069758581,0.692,0.572,5.23933422715062e-12
"Pten",1.18497980214686e-35,0.440274795161521,0.875,0.737,1.89987811678206e-31
"Lrrc8d",4.36617959549009e-26,0.438665544904219,0.895,0.793,7.00029574544926e-22
"Psap",6.39600053203063e-49,0.435993274922978,0.966,0.931,1.02547076530047e-44
"Myo1g",2.64906294385065e-39,0.431842862224109,0.79,0.628,4.24724261787575e-35
"Ddx6",7.05630335913333e-34,0.431477230470477,0.868,0.755,1.13133711756985e-29
"Ebi3",3.02707933014599e-21,0.428058786535258,0.467,0.318,4.85331629002307e-17
"Glis3",5.57324101161809e-09,0.427169091154805,0.216,0.138,8.93557731392728e-05
"mt-Nd4",3.69840574187792e-50,0.427152183782876,0.962,0.893,5.92965392595287e-46
"Appl1",2.83754034367589e-21,0.427011877030629,0.389,0.247,4.54942843301556e-17
"Rps13",2.36137662171161e-55,0.424750111216209,0.947,0.921,3.78599513759022e-51
"Sipa1l1",1.68579374770396e-18,0.424281696187535,0.695,0.568,2.70283311569376e-14
"Rps15a",2.49528787322848e-44,0.423632997721417,0.938,0.896,4.00069504714723e-40
"Rap2a",5.55590659820772e-26,0.422864118618696,0.636,0.478,8.90778504890644e-22
"Il1r2",1.47273725685193e-28,0.421927088286572,0.939,0.884,2.3612396439107e-24
"Prkd3",1.09204646536219e-36,0.420336046684256,0.502,0.289,1.7508780979152e-32
"Rps7",5.63585880239347e-42,0.419997786481497,0.935,0.91,9.03597241787745e-38
"mt-Nd3",9.51671224223301e-41,0.418485711557312,0.661,0.439,1.52581447379722e-36
"Foxn3",6.25976958330563e-28,0.41793971472727,0.863,0.739,1.00362885729139e-23
"Eif3e",2.14959789477478e-42,0.417452517858922,0.752,0.578,3.44645030469241e-38
"Fyn",1.0818268189367e-23,0.41660718687764,0.833,0.701,1.73449293880122e-19
"Rps9",3.15215975533108e-64,0.414026849069604,0.968,0.951,5.05385773572232e-60
"Rpl17",3.66532578770992e-50,0.412254935636045,0.959,0.928,5.87661683543531e-46
"Slc16a3",1.11441029515594e-32,0.41225388859601,0.751,0.588,1.78673402622351e-28
"Rpl21",7.28734796219536e-50,0.410447700188473,0.953,0.929,1.16838049877878e-45
"Cblb",7.78469234816097e-21,0.409309723488896,0.641,0.488,1.24811972418065e-16
"Mxi1",3.99255832019312e-27,0.403199362308665,0.859,0.739,6.40126875476563e-23
"Slc23a2",4.56719229852227e-18,0.397178832620013,0.531,0.391,7.32257941222076e-14
"Rplp1",1.86165283126243e-56,0.396543329534093,0.98,0.956,2.98478798436305e-52
"Mpp7",2.63170652552907e-20,0.396409633215925,0.849,0.734,4.21941507238076e-16
"Eprs",1.40838010105972e-20,0.395798516681243,0.773,0.647,2.25805581602906e-16
"Tob2",1.41167212356401e-19,0.395677597580771,0.725,0.605,2.26333391571018e-15
"Grk5",5.96616488697705e-33,0.395643045830559,0.339,0.154,9.56555216329031e-29
"Ifngr1",2.05870333255779e-23,0.392663397570002,0.792,0.676,3.3007190530899e-19
"Plek",2.4256858631567e-34,0.392410957279159,0.963,0.942,3.88910214439913e-30
"Gpd2",2.60071177583909e-25,0.391904688432867,0.741,0.588,4.16972119020281e-21
"Atp5c1",1.63333188067019e-33,0.391812278431052,0.781,0.639,2.61872100427852e-29
"Gnai2",3.32383144759216e-41,0.391001394928002,0.893,0.819,5.32909895992452e-37
"Eif3a",1.76229730148985e-35,0.389943200239627,0.8,0.649,2.82549126347868e-31
