"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Lyz1",1.13878640969483e-54,3.99285270876678,0.72,0.115,1.82581625066372e-50
"Mmp12",2.11218883895041e-08,1.67444563006802,0.347,0.161,0.000338647236548919
"Tnfsf9",4.7732002735729e-14,1.17604187041198,0.485,0.208,7.65287199861943e-10
"Ptgs2",9.65743568509182e-08,0.90205396838267,0.612,0.453,0.00154837666339077
"Alcam",6.6332241756999e-07,0.87919499945992,0.542,0.37,0.0106350483208996
"Pid1",9.50383957914337e-13,0.862715111633416,0.879,0.76,1.52375059972406e-08
"S100a11",6.06372631089719e-14,0.771357901155715,0.567,0.328,9.72197239426147e-10
"Lsp1",4.71393289394568e-14,0.757029766136265,0.42,0.141,7.5578486088631e-10
"Gm826",7.69888693729146e-27,0.733099635409681,0.452,0.036,1.23436254265594e-22
"Ccl9",4.28005918346722e-08,0.712597944982992,0.624,0.453,0.0006862218888853
"Vim",2.57786615651571e-09,0.702253783980776,0.88,0.786,4.13309280874163e-05
"Alox5ap",1.07443820343543e-12,0.701116439162965,0.718,0.474,1.72264677156802e-08
"H2-DMa",3.85459249978822e-17,0.637936407989896,0.9,0.828,6.18006815491045e-13
"Cst3",1.86432138611981e-20,0.622536922187338,0.98,0.969,2.9890664783659e-16
"Socs3",1.15816720939767e-08,0.614565458092145,0.775,0.682,0.000185688948682729
"Cxcl2",1.79134395289199e-08,0.609412609457634,0.931,0.849,0.000287206175967173
"Plbd1",9.8483753167748e-15,0.607240297465702,0.894,0.76,1.5789900145385e-10
"H2-M2",1.03360686157773e-06,0.586482864813227,0.493,0.312,0.0165718188116757
"Mgl2",9.93971122906863e-07,0.573142515531578,0.714,0.589,0.0159363390135657
"Ecm1",2.34668082109427e-07,0.567927363875335,0.715,0.557,0.00376243336046044
"Cybb",5.91937613658524e-07,0.540881427569605,0.911,0.865,0.00949053575978712
"Nfkbia",3.77856241640817e-10,0.538646710909403,0.967,0.948,6.05816912222722e-06
"Pmp22",3.14663438184151e-09,0.504074466642327,0.854,0.672,5.0449989044065e-05
"Rps9",8.35601179923118e-16,0.483316141320769,0.967,0.943,1.33971937177073e-11
"Tmsb4x",1.23729780802475e-11,0.481161269437657,0.995,0.995,1.98375957560608e-07
"Pip4k2a",1.40098639450488e-07,0.471567397019202,0.818,0.771,0.00224620148630967
"Gadd45b",9.17831835425358e-09,0.466853622390348,0.922,0.891,0.000147155978173748
"Rps4x",1.80870740995735e-12,0.45428193115768,0.943,0.901,2.89990059038461e-08
"Sh3bgrl3",2.22790979886388e-08,0.452589270139475,0.899,0.823,0.000357200778051846
"Psap",1.20718681010859e-09,0.448130944839203,0.984,0.964,1.93548261264711e-05
"Tpt1",3.90665056367198e-13,0.438578551568874,0.989,0.958,6.26353284873528e-09
"Cd52",1.125158057573e-07,0.438415205902832,0.906,0.839,0.0018039659137068
"Rps14",2.00629958451284e-14,0.434568639893774,0.962,0.917,3.21670012384944e-10
"Fxyd5",1.64657573834207e-06,0.433220773646974,0.82,0.76,0.0263995488128384
"Otulinl",5.08761396880407e-09,0.432157082292651,0.76,0.677,8.15697147618356e-05
"Rplp0",1.0932751646652e-09,0.418705980841294,0.941,0.906,1.75284807150772e-05
"H2-Eb1",1.69863411277029e-12,0.415271312453819,0.999,0.979,2.7234200730046e-08
"Rps7",1.22665524322626e-08,0.411171316658328,0.921,0.87,0.000196669635146466
"Rpl7",4.53549690134066e-12,0.410802637839768,0.939,0.87,7.27176218191948e-08
"Rps18",4.59818621857152e-09,0.404241249102701,0.927,0.901,7.37227196423572e-05
"Axl",1.23947331104035e-07,0.401545181955801,0.813,0.75,0.00198724755959099
"Rps5",1.30517123589675e-09,0.393584179308764,0.941,0.87,2.09258104251326e-05
"Tyrobp",3.53225746736175e-07,0.389286736850842,0.941,0.896,0.0056632683974211
"Rpl15",5.76574490556024e-08,0.384021768704786,0.902,0.854,0.000924421880708473
"H2-Ab1",4.46224619224909e-11,0.380476156691736,0.997,0.953,7.15431932003297e-07
"Rpl3",1.79560323101115e-09,0.377384497023103,0.941,0.88,2.87889066028017e-05
"Fth1",2.13652717646671e-07,0.375586311043601,0.997,0.995,0.00342549402202908
"Rpl26",3.98367717604686e-10,0.37115717325706,0.944,0.911,6.38702961635594e-06
"Atp2b1",6.18669432055017e-07,0.364322915539819,0.953,0.964,0.00991912700413809
"Nap1l1",9.06129583341781e-07,0.360002676776364,0.704,0.599,0.0145279756097188
"Uqcrh",1.74834974386659e-07,0.359210794791664,0.861,0.781,0.0028031291443413
"Rps27a",4.70848756868809e-09,0.35659452567177,0.961,0.927,7.54911811887762e-05
"Rpl14",1.03806900508298e-07,0.355379808235176,0.916,0.854,0.00166433603584954
"Mpeg1",1.92824532929832e-07,0.355193961478159,0.907,0.844,0.003091555736464
"Rpl17",7.79452592912433e-09,0.355043182081541,0.95,0.906,0.00012496963422165
"Rtn1",4.41760169002561e-07,0.35306524127009,0.635,0.484,0.00708274078961805
"Eef1a1",4.27350475829318e-10,0.348802281420621,0.984,0.948,6.85171017897146e-06
"Rpl10",8.76374898668839e-08,0.345657613773287,0.942,0.896,0.00140509187503575
"Rps3",2.31644380470999e-08,0.342073944624336,0.932,0.87,0.000371395435209153
"Rpl9",7.97811454651686e-07,0.341694819264843,0.931,0.87,0.0127913110524305
"Pfdn5",2.18935920844162e-06,0.330238572845824,0.871,0.802,0.0351019961889445
"Rpl12",8.86534521335018e-08,0.330191564767895,0.909,0.88,0.00142138079805643
"Rps11",1.8037838292966e-06,0.328254620034455,0.939,0.906,0.0289200661351123
"Rps25",8.37248742087107e-07,0.324973312146831,0.93,0.88,0.0134236090818826
"Rps6",4.80916403241304e-07,0.324801387474259,0.916,0.87,0.00771053269316783
"Rpl5",7.05750912869601e-08,0.323827809313635,0.92,0.901,0.00113153043860383
"Rps15",5.4473427511185e-08,0.323184743651987,0.949,0.901,0.000873372463286829
"Rps13",3.45964468843098e-07,0.305367149247797,0.947,0.906,0.0055468483289614
"Rpsa",1.85615383629339e-07,0.297283436650747,0.967,0.932,0.00297597144572919
"Rps24",2.26934223647557e-07,0.292796522848969,0.97,0.943,0.00363843640774128
"Col27a1",2.31801560012088e-06,0.291315469309358,0.167,0.036,0.037164744116738
"Rpl13",1.26610754985706e-06,0.29120876471549,0.978,0.953,0.0202995023468583
"Rplp1",3.05669110648459e-08,0.29071179665281,0.986,0.953,0.000490079285102675
"Rack1",5.92918187941149e-08,0.290392857595799,0.942,0.88,0.000950625730726045
"Rpl23",3.85041390747654e-07,0.290260470397166,0.964,0.953,0.00617336861785713
"Fau",2.57701734004221e-06,0.276559428885078,0.983,0.943,0.0413173190128968
"Rpl18a",2.91777469624734e-06,0.274116696796361,0.945,0.911,0.0467806817049336
"Rps19",1.95401322251283e-06,0.272961426274815,0.952,0.938,0.0313286939965483
"Rps3a1",1.8720887053378e-06,0.271248763408447,0.958,0.917,0.0300151982126809
"H2-Aa",6.29964217413976e-07,0.260083615531834,0.998,0.995,0.0101002162977983
"H3f3a",2.29112567477777e-06,0.255615668368948,0.958,0.932,0.0367336179437119
"Mki67",2.42724619215061e-07,0.250088673408262,0.519,0.312,0.00389160381987508
"Cped1",1.23588940983647e-06,-0.258187092319763,0.1,0.219,0.0198150149079081
