NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	P2ry13	na	8	3.626858711242676	0.012797263	No	
row_1	Pltp	na	62	2.591356039047241	0.018462995	No	
row_2	Cd86	na	73	2.516535520553589	0.027015278	No	
row_3	P2ry12	na	97	2.3503611087799072	0.0339981	No	
row_4	Klf9	na	131	2.1325881481170654	0.03944167	No	
row_5	Dmxl2	na	194	1.877887487411499	0.04181224	No	
row_6	Zfp658	na	215	1.8342857360839844	0.04711103	No	
row_7	Gab1	na	222	1.8133175373077393	0.053362146	No	
row_8	Entpd1	na	265	1.6853408813476562	0.0564931	No	
row_9	Tent5a	na	374	1.4542888402938843	0.053916942	No	
row_10	Nr1d1	na	402	1.4264156818389893	0.057195544	No	
row_11	Cd302	na	518	1.2685801982879639	0.05341913	No	
row_12	Cd164	na	543	1.2269294261932373	0.056182146	No	
row_13	Pag1	na	624	1.13896906375885	0.054501664	No	
row_14	Gna15	na	661	1.1032302379608154	0.055925526	No	
row_15	Tmem86a	na	914	0.9237155914306641	0.040799823	No	
row_16	Nrip1	na	940	0.9065015912055969	0.04230668	No	
row_17	St6gal1	na	942	0.9056333899497986	0.045575555	No	
row_18	Slc44a1	na	957	0.8960434198379517	0.047852874	No	
row_19	Scarb2	na	1021	0.8577340245246887	0.046384804	No	
row_20	Lilra5	na	1035	0.8547391891479492	0.048583232	No	
row_21	Ivns1abp	na	1048	0.8494545817375183	0.050835706	No	
row_22	Cd1d1	na	1127	0.8151748776435852	0.048107296	No	
row_23	Lpin1	na	1145	0.8065887093544006	0.04983381	No	
row_24	Mgat4a	na	1159	0.8010644316673279	0.05183414	No	
row_25	Ttc39b	na	1175	0.7953281402587891	0.0536662	No	
row_26	Tgfbr1	na	1240	0.7700679898262024	0.051801026	No	
row_27	Nr1h3	na	1271	0.7570199966430664	0.052388433	No	
row_28	Nr1d2	na	1373	0.7198925614356995	0.04761669	No	
row_29	Id2	na	1545	0.662520706653595	0.03748463	No	
row_30	Eogt	na	1576	0.6505734324455261	0.037679177	No	
row_31	Kazald1	na	1694	0.6354485750198364	0.031418957	No	
row_32	Emp1	na	1704	0.6327744126319885	0.033092383	No	
row_33	Cd163	na	1722	0.6270955204963684	0.03415644	No	
row_34	Gpr155	na	1733	0.6229327321052551	0.035719994	No	
row_35	Sgk1	na	1734	0.6228110194206238	0.038018607	No	
