NAME	TITLE	SCORE	
Gm826	na	4.9492903	
A430078G23Rik	na	4.608541	
Rbpms	na	3.7852175	
Arhgef18	na	3.781498	
Cd24a	na	3.7333035	
Epha2	na	3.7323668	
Lsr	na	3.7038026	
Krt80	na	3.645682	
P2ry13	na	3.6268587	
F11r	na	3.5533693	
Ccr2	na	3.4697242	
Sorl1	na	3.4309912	
G430095P16Rik	na	3.3559322	
Tlr5	na	3.3529413	
Amz1	na	3.3329716	
Klf4	na	3.3325653	
Naaa	na	3.2976556	
Cd300lg	na	3.2691345	
Itga1	na	3.1654713	
Abca6	na	3.1379263	
Nfe2	na	3.0803852	
Fbxo32	na	3.0265367	
Ccr1	na	3.0152311	
Mmp8	na	3.0076015	
Dnah2	na	2.9925911	
Ttc9	na	2.9729729	
Rflnb	na	2.9669511	
Fgr	na	2.9369013	
Acpp	na	2.9318979	
Mcemp1	na	2.920349	
Lyz1	na	2.9100046	
Alox5	na	2.909986	
Chst1	na	2.9075425	
Axl	na	2.892492	
Sirpb1b	na	2.8911564	
Cytip	na	2.8749099	
A4galt	na	2.846716	
Rap1gap2	na	2.8338885	
P2ry14	na	2.8218048	
Jaml	na	2.812264	
Ramp1	na	2.8098652	
March1	na	2.8012664	
Plekhg1	na	2.7928176	
Cfh	na	2.784226	
Gm9733	na	2.7817695	
Ciita	na	2.7771366	
Tifab	na	2.7756288	
Rubcnl	na	2.7750363	
X0610040J01Rik	na	2.771544	
Sh2d1b1	na	2.771298	
Sema4a	na	2.7537663	
Fam131a	na	2.75	
Cdh1	na	2.7463167	
Gpr141	na	2.7297497	
Pram1	na	2.724686	
I830077J02Rik	na	2.7207596	
Fam43a	na	2.7055063	
Kbtbd11	na	2.6883757	
Bst1	na	2.631236	
Col20a1	na	2.6233184	
Tcp11l2	na	2.6203144	
Cd2	na	2.600299	
Pltp	na	2.591356	
Nhsl2	na	2.5877614	
Ppp1r9a	na	2.5832376	
Sbk1	na	2.5787742	
Itgb7	na	2.5779784	
Klra2	na	2.5733948	
Notch1	na	2.5645669	
Hopx	na	2.5467663	
Tnfsf8	na	2.542069	
S1pr4	na	2.5416372	
Gfod1	na	2.5252237	
Cd86	na	2.5165355	
Krt7	na	2.5162182	
Btg2	na	2.5120077	
Nfix	na	2.4985623	
Ak8	na	2.488006	
Grk5	na	2.478692	
Dgkg	na	2.4783924	
Abcd2	na	2.4724736	
Sirpb1a	na	2.4524887	
St8sia4	na	2.4523697	
Nat8l	na	2.4437006	
Ctsh	na	2.435926	
Clec4a3	na	2.4225817	
Sirpb1c	na	2.4217224	
Rnase6	na	2.4182746	
Ypel2	na	2.400913	
Gramd4	na	2.4001586	
Arhgef37	na	2.3836133	
Fzd4	na	2.371638	
Il16	na	2.3689077	
Ccdc180	na	2.368421	
Lilra6	na	2.366445	
Vsir	na	2.3654442	
Irf4	na	2.352383	
P2ry12	na	2.350361	
Ltb4r1	na	2.329054	
Card11	na	2.3275282	
Grap2	na	2.3262389	
Lifr	na	2.320077	
Nxpe5	na	2.3150249	
Mxd4	na	2.3012938	
Arhgap26	na	2.2977965	
Napsa	na	2.2928762	
Csf3r	na	2.279937	
Tmem51	na	2.2601354	
H2.DMa	na	2.2505887	
Nfam1	na	2.2484512	
Ahr	na	2.2479112	
Dmkn	na	2.2381306	
Add3	na	2.2273626	
Fabp7	na	2.2097108	
Plbd1	na	2.2065995	
Fam187b	na	2.2058058	
Dpep2	na	2.1976628	
Eml6	na	2.1945138	
Ptgs1	na	2.1940742	
Ms4a6c	na	2.1806624	
Pla2g7	na	2.1762161	
Gapt	na	2.1533012	
Csf2rb	na	2.1499333	
Ctse	na	2.1476095	
Adgre5	na	2.1467304	
Zfp608	na	2.1449094	
Sidt2	na	2.1430125	
Ahrr	na	2.1386745	
Fcor	na	2.137255	
Abi3	na	2.1355329	
Ms4a4b	na	2.134486	
Klf9	na	2.1325881	
Zfp366	na	2.1311476	
Scel	na	2.1175666	
Megf9	na	2.1089895	
Il18rap	na	2.1027246	
Bmf	na	2.1021748	
Fut7	na	2.0993552	
Btla	na	2.0966763	
Ms4a4a	na	2.0795088	
Kynu	na	2.0765212	
Ptpru	na	2.0744553	
Ly6a	na	2.0727866	
Egfr	na	2.0657792	
Tnfrsf18	na	2.059106	
Nedd9	na	2.0566103	
Cgnl1	na	2.0463877	
Mfsd7a	na	2.0460894	
Hrh1	na	2.0387645	
Foxred2	na	2.0305593	
Sulf2	na	2.0303142	
Prss53	na	2.0263696	
Glipr2	na	2.0262783	
Trpv4	na	2.0221145	
Slc2a6	na	2.0173614	
Rarg	na	2.0172164	
Siglece	na	2.0105505	
Rnd3	na	2.0091102	
Zfyve9	na	2.0056925	
Ocstamp	na	1.9932139	
Plcl1	na	1.9921954	
Plcb1	na	1.989675	
Fry	na	1.9869822	
Tnfrsf21	na	1.9861853	
Tob1	na	1.9780594	
Cdhr1	na	1.9675423	
Efna3	na	1.9675423	
Tnfrsf1b	na	1.9675248	
Pi16	na	1.9670997	
Gm15448	na	1.9665446	
D930048N14Rik	na	1.9588134	
Fam117b	na	1.9581919	
Rasgrp4	na	1.9546745	
Ltc4s	na	1.9426389	
Ddit4	na	1.9407939	
Gabbr2	na	1.936567	
Ptger3	na	1.9333371	
Dipk1a	na	1.9319221	
Ppfia4	na	1.9279412	
Smpdl3a	na	1.9241312	
Gm14548	na	1.9227709	
Svip	na	1.9152542	
Il17ra	na	1.9150456	
Deptor	na	1.9104103	
Emb	na	1.9101135	
Prtg	na	1.9052559	
Fbxl20	na	1.9043901	
Grk3	na	1.9030669	
Sowahc	na	1.8988055	
H2.DMb1	na	1.8980426	
Ccdc88c	na	1.8915951	
Trp53inp1	na	1.8855932	
Acot1	na	1.8824024	
Mfsd6l	na	1.8784648	
Dmxl2	na	1.8778875	
Sla	na	1.8774109	
Nod1	na	1.8764895	
Klk1b11	na	1.8764066	
Bhlhe40	na	1.8751247	
Col4a2	na	1.8709508	
Hsh2d	na	1.8686913	
Relt	na	1.8675559	
X2610528A11Rik	na	1.8668538	
Nqo1	na	1.8614266	
Ly6g	na	1.8584901	
Skint3	na	1.8581754	
Mmp17	na	1.8565902	
Gm2a	na	1.854913	
Gprc5c	na	1.8520635	
Slc9a3r2	na	1.8434922	
Tmem156	na	1.8432204	
Rin3	na	1.8410475	
Tnxb	na	1.8400401	
Cebpa	na	1.8381641	
Nrg2	na	1.8365219	
Zfp658	na	1.8342857	
Mfng	na	1.832332	
Itgal	na	1.8313472	
Abhd15	na	1.8288913	
Fbxl22	na	1.8241521	
Ypel3	na	1.8224989	
Kmo	na	1.821563	
Gab1	na	1.8133175	
Pfkfb4	na	1.8105718	
Nrg1	na	1.8097731	
Slpi	na	1.8067367	
Cyp27a1	na	1.8062909	
Abca9	na	1.8017482	
Vcan	na	1.8014008	
Pygl	na	1.7995625	
Mob3b	na	1.7896973	
N4bp3	na	1.7880995	
Haao	na	1.7853231	
Trim30b	na	1.7765042	
Adamtsl4	na	1.762545	
Peli2	na	1.7591779	
Aox3	na	1.7581193	
Zbtb42	na	1.7553332	
X1600014C10Rik	na	1.7521605	
Runx2	na	1.7520424	
Bmx	na	1.7503389	
F10	na	1.7434878	
Tspan8	na	1.7428316	
Bin2	na	1.7417798	
Prkce	na	1.7367568	
Apbb1	na	1.7362356	
Pstpip2	na	1.7358696	
Hal	na	1.7347847	
Rnf144b	na	1.7319665	
Crispld2	na	1.728833	
Gda	na	1.7280099	
Ceacam19	na	1.7236019	
Gsdmd	na	1.7185614	
Cd33	na	1.7183423	
Fosl2	na	1.7182572	
Tbc1d8	na	1.7102529	
Nxpe4	na	1.7072583	
Cd74	na	1.7030076	
Gm49395	na	1.699459	
Slc46a3	na	1.6984993	
Trim16	na	1.6961751	
Sntb1	na	1.6960125	
Tiam1	na	1.6936218	
Rad9b	na	1.6891892	
Rffl	na	1.6873746	
Entpd1	na	1.6853409	
Ank	na	1.6842479	
Sort1	na	1.6833481	
Cd244a	na	1.6831547	
Adam19	na	1.6816537	
P2ry10	na	1.6792814	
Wdyhv1	na	1.6774716	
Gpr15	na	1.6767333	
Il2rb	na	1.6767333	
H2.Ab1	na	1.6765845	
Tmem154	na	1.674759	
Zfp296	na	1.6734853	
Rara	na	1.6731141	
Tox3	na	1.6701454	
Eps8	na	1.6679468	
Smim5	na	1.6623547	
Dusp22	na	1.6621479	
Pilrb1	na	1.6585066	
Maml3	na	1.6562434	
Tesmin	na	1.6558532	
Abca2	na	1.6529189	
Elovl7	na	1.6427802	
Pkd2l2	na	1.6410118	
Rtl5	na	1.6400639	
Rnf122	na	1.6380049	
Spaca9	na	1.6379125	
Arrdc3	na	1.635684	
Socs3	na	1.6292056	
Borcs6	na	1.6274351	
Bach2	na	1.6216117	
Rab27a	na	1.621585	
Mgst1	na	1.6209451	
Hrh2	na	1.6208885	
Ptpro	na	1.6196946	
Cebpd	na	1.6185738	
Atrnl1	na	1.6172324	
Gm5150	na	1.6172221	
Col4a1	na	1.61213	
Gm8369	na	1.6079738	
Clec4a1	na	1.606138	
Ly6e	na	1.6052861	
Rassf4	na	1.6050965	
Tmcc3	na	1.597512	
Pik3r6	na	1.5966234	
Ccnd3	na	1.5951784	
Pld4	na	1.5944651	
Parp8	na	1.5944134	
Ceacam1	na	1.5941058	
Adora2b	na	1.590252	
Otulinl	na	1.5863847	
Vamp1	na	1.586239	
Clec4a2	na	1.5817835	
Il1r1	na	1.5750244	
Ripor2	na	1.5650717	
Csf2ra	na	1.5647298	
Abca7	na	1.5605603	
Ppp2r5a	na	1.560264	
Ppard	na	1.5594265	
Dna2	na	1.5568862	
Ssbp2	na	1.555773	
Ccdc125	na	1.5502555	
Cd34	na	1.5451118	
Epcam	na	1.5428864	
Pilrb2	na	1.54277	
Atp1a3	na	1.5418111	
Adamts10	na	1.5416179	
Rnf166	na	1.5411845	
Pbxip1	na	1.5411543	
Fkbp1b	na	1.5404924	
Ecm1	na	1.5387431	
Pitpnm1	na	1.5335007	
Tmem50b	na	1.5331706	
Rab11fip4	na	1.5314553	
H2.Aa	na	1.5274986	
Smyd3	na	1.5271786	
Ryr1	na	1.5261825	
Dnajb14	na	1.5250921	
Atp2b4	na	1.5245351	
Ipcef1	na	1.5207034	
Adgrl1	na	1.5168099	
Pdcd4	na	1.5156507	
Ngly1	na	1.515528	
Abtb1	na	1.5086398	
Tns4	na	1.50565	
Asprv1	na	1.5	
Ifngr1	na	1.4986296	
Ugt1a5	na	1.4981674	
Il15ra	na	1.4974436	
Mbp	na	1.4969666	
Cysltr1	na	1.4923077	
Il13ra1	na	1.4922357	
Cd300a	na	1.4898373	
Scimp	na	1.4884454	
Klhl33	na	1.4831377	
Map4k1	na	1.4830625	
Tsacc	na	1.4826946	
Selplg	na	1.4786646	
Rhbdl1	na	1.4774797	
Cxcl14	na	1.4747075	
Klf2	na	1.4731332	
Epha7	na	1.4720192	
H2.DMb2	na	1.4709182	
Tagap	na	1.4659686	
Dyrk1b	na	1.4656037	
Cyp2ab1	na	1.4648918	
Sap25	na	1.4638907	
Mmp28	na	1.4623224	
H2.Eb1	na	1.4622266	
Zcwpw1	na	1.4587901	
Tent5a	na	1.4542888	
Vcl	na	1.4535184	
Adrb2	na	1.4525547	
Itgax	na	1.4524536	
X4930523C07Rik	na	1.4523376	
Ogfrl1	na	1.4512472	
Dgka	na	1.4511102	
Plcb2	na	1.4506224	
Hic1	na	1.4502647	
Pgap1	na	1.4481947	
Nccrp1	na	1.4459293	
Ifitm6	na	1.4452132	
Slc9a7	na	1.4452025	
Gm45140	na	1.4451722	
Adcy4	na	1.4440132	
L1cam	na	1.44392	
Aph1b	na	1.4418355	
Ccbe1	na	1.4414319	
BC147527	na	1.44035	
Cyp4f18	na	1.4376619	
Clmn	na	1.4370506	
Clec2g	na	1.4366213	
Asgr2	na	1.4366213	
Prcp	na	1.4327568	
Nectin1	na	1.4317831	
Klhl24	na	1.4316893	
Gpr34	na	1.4309618	
Tnfrsf8	na	1.4281193	
Nr1d1	na	1.4264157	
Cbfa2t3	na	1.4256438	
Tiparp	na	1.4195023	
Dennd3	na	1.4189	
Gm20695	na	1.4187328	
Egfl8	na	1.4180388	
Notch2	na	1.4166126	
Aqp9	na	1.4139862	
Ptgfrn	na	1.413529	
Tmem150b	na	1.4126658	
Clec4a4	na	1.4108112	
Fam49a	na	1.408783	
Unc93b1	na	1.4079996	
Alpk1	na	1.4077233	
Ccnd2	na	1.4061097	
Atp8b1	na	1.4042865	
Rin1	na	1.4038941	
Ticam2	na	1.4038668	
Slc18a1	na	1.4022267	
Nfil3	na	1.4014014	
Ltb4r2	na	1.4010515	
Mical1	na	1.400415	
Plppr3	na	1.3960412	
Il1r2	na	1.3954443	
Ndnf	na	1.3942307	
Ms4a8a	na	1.3941416	
Cd300lf	na	1.3932136	
Pira2	na	1.3931158	
Cyp4f16	na	1.3914689	
Ddb2	na	1.3913044	
Lsp1	na	1.3876117	
Arhgap45	na	1.3867701	
Adamts6	na	1.3859992	
Icosl	na	1.3852528	
Tmem170b	na	1.3844967	
Kctd2	na	1.3842105	
Ugt1a7c	na	1.3822992	
Gpr183	na	1.3817005	
Gm45713	na	1.379877	
Ap1s2	na	1.3785309	
Hsd11b1	na	1.3775285	
Cdhr4	na	1.3762757	
Tmcc1	na	1.3762076	
Dmc1	na	1.3722813	
Slfn1	na	1.3716863	
Ly6c2	na	1.3701956	
Aqp8	na	1.3694972	
Kcne3	na	1.3669864	
Txnip	na	1.3663138	
AB124611	na	1.3611683	
Rmnd5b	na	1.3595331	
Clec4n	na	1.3589789	
Polg2	na	1.3586956	
Hba.a1	na	1.3552759	
H2.Ob	na	1.3471535	
Xylt1	na	1.3449839	
Ptger4	na	1.344602	
Penk	na	1.3444158	
Fam129a	na	1.3442581	
Paxx	na	1.338329	
Il10ra	na	1.3362132	
Card9	na	1.334507	
Plxdc2	na	1.3336855	
S100a11	na	1.3321965	
Lyl1	na	1.3317004	
Ppef2	na	1.3294829	
Camkk2	na	1.3279198	
Il1rl2	na	1.3277555	
Ptprs	na	1.3273089	
Cbx4	na	1.3268653	
Il6ra	na	1.3238906	
Dpep3	na	1.3235408	
Ier5l	na	1.323159	
Osgin1	na	1.3214343	
St8sia1	na	1.3208563	
Car5b	na	1.320196	
Med12l	na	1.3200711	
Dapp1	na	1.3193387	
Ms4a4c	na	1.3189951	
Arhgap15	na	1.3183988	
Itpr1	na	1.3161546	
Dhcr24	na	1.3137184	
Tspan32	na	1.3113368	
Stk32c	na	1.3112718	
Apba1	na	1.3109629	
X1700025G04Rik	na	1.3086642	
Tnnt3	na	1.306491	
Ahnak	na	1.3056496	
Ly6m	na	1.3045797	
Il21r	na	1.3028527	
Emilin2	na	1.301925	
Tsku	na	1.2986189	
Lipe	na	1.2971749	
Lpcat1	na	1.2961466	
Rasa3	na	1.2960714	
Atg9a	na	1.2956831	
Rnase2b	na	1.2948319	
Ido1	na	1.2939619	
Ripk3	na	1.2886925	
Mfsd6	na	1.2868067	
Gpc2	na	1.2867277	
Fam20a	na	1.2865223	
Hdac4	na	1.2851353	
Itgam	na	1.2826166	
Celsr3	na	1.2822326	
Treml4	na	1.2809386	
X1700066B19Rik	na	1.2806472	
Cd101	na	1.2788346	
Ucp2	na	1.2757341	
Tsc22d3	na	1.2750785	
Trem1	na	1.274952	
Cd52	na	1.2733083	
Tmem151a	na	1.2730149	
Kcnc3	na	1.2724055	
Msrb1	na	1.2705845	
Elovl6	na	1.2699064	
Cd302	na	1.2685802	
Ighm	na	1.2681391	
Ucp3	na	1.2679492	
Ttc39a	na	1.2660257	
Arhgef4	na	1.2658033	
Il6st	na	1.2629379	
Trem3	na	1.2575532	
Runx3	na	1.2569882	
Zfp619	na	1.2537379	
Zfp784	na	1.2501029	
Ankrd44	na	1.2499311	
Acox3	na	1.2482909	
C130050O18Rik	na	1.2468377	
Slc13a3	na	1.2441325	
Nlrc4	na	1.2410579	
Stxbp6	na	1.2408501	
Gngt2	na	1.2408121	
Rogdi	na	1.2400246	
Nap1l3	na	1.2389934	
Aldoc	na	1.2355684	
Cpt1a	na	1.2333918	
X9930111J21Rik1	na	1.2305822	
Cib2	na	1.2304713	
Vdr	na	1.2292242	
Vegfa	na	1.2285287	
Cd164	na	1.2269294	
Lpar6	na	1.2249969	
Slc29a3	na	1.223109	
Sh2b2	na	1.2214856	
Ly6i	na	1.2210677	
Kifc3	na	1.2161834	
Klhl6	na	1.2155001	
Padi4	na	1.2144161	
Tspan13	na	1.2139182	
Cnpy3	na	1.211494	
X6430548M08Rik	na	1.2104249	
F13a1	na	1.209482	
E2f2	na	1.2094072	
Smpdl3b	na	1.2085692	
Map11	na	1.2065556	
Dedd2	na	1.2062615	
Tcf7l2	na	1.2036868	
Rin2	na	1.2030187	
Galnt10	na	1.2022481	
Gpcpd1	na	1.2009526	
Frat2	na	1.2002738	
Lmbr1l	na	1.1991279	
Kctd14	na	1.1910089	
Mcf2l	na	1.189775	
Tbc1d2	na	1.1888437	
Zfp971	na	1.188561	
Arrdc4	na	1.1881833	
Dennd1c	na	1.1870698	
Rasgrp2	na	1.1860504	
Svil	na	1.1859639	
Tmem131l	na	1.1854167	
Naip6	na	1.1851743	
Rmi2	na	1.184186	
Cdh24	na	1.1840299	
Nlrx1	na	1.1839231	
Btg1	na	1.1838307	
Hepacam2	na	1.1824728	
Gm49368	na	1.1810677	
Pde4c	na	1.1793534	
Kcnq3	na	1.179259	
Cyp4f13	na	1.178344	
Gpr18	na	1.178115	
Col15a1	na	1.1779807	
Srgap3	na	1.1775618	
Chst15	na	1.1771767	
Trpm2	na	1.1754539	
Ldlrad3	na	1.1741018	
Zyx	na	1.1731957	
Klf3	na	1.1731578	
Thbs1	na	1.1722404	
Gm28539	na	1.171103	
Cyp1b1	na	1.1704868	
Usp53	na	1.1691543	
Tlr9	na	1.166807	
Ugt1a8	na	1.1626303	
Inf2	na	1.1621408	
Gpr171	na	1.1619097	
Trim30d	na	1.1615865	
Shroom1	na	1.160254	
Rasgrf1	na	1.160254	
Gpr52	na	1.160254	
Mfsd2b	na	1.1594203	
Rab3d	na	1.1593777	
Adam1a	na	1.1584638	
Siglecf	na	1.155583	
B3gnt8	na	1.1551048	
A930033H14Rik	na	1.154794	
Csad	na	1.1538461	
Slc8a1	na	1.1529735	
Ppfibp2	na	1.1506507	
Gstm1	na	1.150055	
Gpr35	na	1.1498303	
Ptpn1	na	1.1493583	
Mreg	na	1.147421	
Rgs14	na	1.1464179	
X9830107B12Rik	na	1.1461091	
Smarca2	na	1.1440771	
St14	na	1.1430179	
Camk1d	na	1.1403012	
Xkrx	na	1.1402305	
Dclre1b	na	1.1390779	
Pag1	na	1.1389691	
Hlcs	na	1.1384977	
Sparc	na	1.1376066	
Tns2	na	1.1374795	
Spns2	na	1.1369379	
Plcl2	na	1.1325767	
Agap2	na	1.1308411	
Hes1	na	1.1303766	
Efcab9	na	1.1282948	
Slc22a15	na	1.1266047	
Klf13	na	1.1262043	
Tgfbi	na	1.126166	
Homer1	na	1.1258175	
Bco2	na	1.1256926	
Cd177	na	1.1250584	
Kcnab3	na	1.1237985	
Klrg2	na	1.1208793	
Zc3h3	na	1.1187819	
Syne2	na	1.1181183	
Fxyd5	na	1.1166203	
Arhgap39	na	1.1165845	
Met	na	1.1164123	
Oplah	na	1.1158464	
Fam102b	na	1.1152364	
Pot1b	na	1.11436	
Acap1	na	1.1130157	
Zkscan14	na	1.1118509	
Fndc10	na	1.1114801	
Atp10a	na	1.1113689	
Slk	na	1.110669	
Kcnj10	na	1.1106083	
Rhof	na	1.108871	
Hist3h2a	na	1.1085945	
Rnf167	na	1.1081628	
Itgb2l	na	1.106864	
Prkcg	na	1.1061947	
Ptgir	na	1.1039232	
Gna15	na	1.1032302	
Zbtb32	na	1.1023746	
Scarb1	na	1.1019777	
Bex6	na	1.1002063	
Zfhx3	na	1.0987749	
Csf2rb2	na	1.0982054	
Sik1	na	1.0979532	
Zfp691	na	1.0972018	
Gprin3	na	1.0963457	
Gucd1	na	1.0960233	
Ipmk	na	1.0947318	
Gmfg	na	1.0928856	
Cdk2ap2	na	1.0914612	
Strip2	na	1.0910372	
Usf1	na	1.0909091	
Avpi1	na	1.0908701	
Rgs3	na	1.0907917	
Inpp5k	na	1.0901185	
Fam189a2	na	1.0893673	
Sbsn	na	1.089255	
Zfp217	na	1.0885932	
Dennd1b	na	1.0881708	
Map3k5	na	1.0873778	
Setmar	na	1.0866939	
Frat1	na	1.086525	
Flt4	na	1.0863894	
Themis2	na	1.0854228	
Ccpg1	na	1.085414	
Zdhhc23	na	1.0837426	
Nt5e	na	1.0834627	
Cldn15	na	1.0832888	
Bckdha	na	1.0825475	
Klhl5	na	1.0823517	
Dock5	na	1.0820776	
Mturn	na	1.0811383	
Tnfsf13	na	1.0810157	
Tmem229a	na	1.0799816	
Ifi214	na	1.079763	
X4930438A08Rik	na	1.0794737	
Phospho1	na	1.0794265	
Gsdme	na	1.0789653	
Ndrg1	na	1.0788441	
Prss30	na	1.0760337	
Tmem71	na	1.0758054	
Clec4b1	na	1.0736855	
Trim34a	na	1.0735705	
Myo18b	na	1.073	
Boll	na	1.0714285	
Fcrla	na	1.0714285	
Sox15	na	1.0714285	
Abca8a	na	1.0714285	
Macc1	na	1.0714285	
Gimap4	na	1.0714285	
Sell	na	1.0712019	
Ugt1a1	na	1.0703628	
Slc7a11	na	1.0694858	
Prdm9	na	1.0690359	
Pygm	na	1.0688784	
Klra17	na	1.0688478	
Zfp541	na	1.0688461	
Mbnl3	na	1.0687023	
Gbp2b	na	1.0678148	
Ccdc162	na	1.0650603	
Krtcap3	na	1.0647632	
Gpr146	na	1.0634533	
Tnfaip8l2	na	1.0617597	
Crip1	na	1.0612245	
Prkag2	na	1.060557	
Dok3	na	1.0598599	
Bcor	na	1.059626	
Zfp69	na	1.0589755	
Naip2	na	1.0575036	
Rps6ka5	na	1.0559093	
