"","baseMean","log2FoldChange.x","lfcSE.x","stat","pvalue.x","padj.x","log2FoldChange.y","lfcSE.y","pvalue.y","padj.y"
"Mafb",1956.45754517988,-5.80023129673028,0.169636518697303,-34.1921146535677,3.167021713757e-256,3.97492895293641e-252,-5.79057284322727,0.170133444011583,3.167021713757e-256,3.97492895293641e-252
"Shisa9",3.94663802381387,-5.14675600782707,1.37714390030252,-3.73726812913051,0.000186030511400479,0.000984346099741744,-5.52464806167334,2.69830189789428,0.000186030511400479,0.000984346099741744
"Pla2g5",3.74422337617142,-5.3289707707077,1.51587113283357,-3.51545105337974,0.000439007675733452,0.00210224545521959,-5.27408333506672,2.78827321351131,0.000439007675733452,0.00210224545521959
"Folr2",367.389539100879,-5.20272655425533,0.434507664656645,-11.9738429893213,4.87186608615054e-33,4.30611205966729e-31,-5.13128636634642,0.437464798138267,4.87186608615054e-33,4.30611205966729e-31
"Cdcp1",10.0727153365566,-5.25874120374213,1.08819815910561,-4.83252168710181,1.34814420404026e-06,1.11027282840612e-05,-4.82340935480668,1.14010009681032,1.34814420404026e-06,1.11027282840612e-05
"C1qa",1264.50090232902,-4.8586516648329,0.384908907584259,-12.6228610694579,1.5797572497037e-36,1.6946609607719e-34,-4.79852851722262,0.387952998910608,1.5797572497037e-36,1.6946609607719e-34
"Stard13",31.2709573531996,-5.04245919481566,0.959349637035086,-5.25612248147569,1.47124326463234e-07,1.44488061145544e-06,-4.63321230875053,1.01964832038805,1.47124326463234e-07,1.44488061145544e-06
"Gpr176",8.12184682584633,-4.97678197130655,1.21979036966911,-4.08003054873813,4.50297826206183e-05,0.000275155210161334,-4.35569765192657,1.21321529880663,4.50297826206183e-05,0.000275155210161334
"Akap2",9.80117115717253,-4.81357663112514,1.05887863370761,-4.5459191241499,5.4696037461946e-06,4.0098712978089e-05,-4.33882915093504,1.07051477122861,5.4696037461946e-06,4.0098712978089e-05
"C1qb",4234.20531235345,-4.19490714201601,0.517590029703899,-8.10469078087888,5.28798325917154e-16,1.41512746025292e-14,-4.0919816611898,0.525519161979863,5.28798325917154e-16,1.41512746025292e-14
"C1qc",2603.08484688905,-4.21400328443186,0.537063693035039,-7.84637527928543,4.28234218327753e-15,1.04975931137336e-13,-4.07735998776178,0.546590262485936,4.28234218327753e-15,1.04975931137336e-13
"Itga9",4.63928524431189,-4.86284318715401,1.27618528644654,-3.81045232130382,0.000138712763601417,0.000757535446349818,-4.06548676209631,1.51940745743479,0.000138712763601417,0.000757535446349818
"Cpeb1",21.881964550257,-4.2356594226803,0.630101410380101,-6.7221868621516,1.7901716467355e-11,2.99579257842363e-10,-4.04856547635369,0.628675187083834,1.7901716467355e-11,2.99579257842363e-10
"Cacna1a",119.819036048162,-4.05334942672237,0.284224010727518,-14.261108399488,3.82333276767493e-46,5.99833119588601e-44,-4.0143098370604,0.284586479702419,3.82333276767493e-46,5.99833119588601e-44
"Ccl7",1153.03339919439,-4.26915596259787,0.737924108633549,-5.78535910759614,7.23575855394215e-09,8.67392603729971e-08,-4.004997306001,0.766234741632362,7.23575855394215e-09,8.67392603729971e-08
"Ccl12",52.8832084885128,-3.98267880974773,0.415275643260397,-9.59044642849523,8.77046978451078e-22,3.76980021456831e-20,-3.89848321090249,0.417070694015566,8.77046978451078e-22,3.76980021456831e-20
"Lix1",18.3526034266999,-4.21957051577416,0.839672636150576,-5.02525667040729,5.02759664675174e-07,4.51691950704231e-06,-3.86720147045561,0.863690473384365,5.02759664675174e-07,4.51691950704231e-06
"Htr2b",7.80026759406365,-4.33943202325925,1.04491723728629,-4.15289543364123,3.28294776054396e-05,0.000206124448937405,-3.8204795829438,1.03628948915034,3.28294776054396e-05,0.000206124448937405
"Gpx7",3.73762857524384,-4.55870011662506,1.37582520409458,-3.31342971698581,0.000921592661230866,0.00402887826231578,-3.62144220898228,1.72112778156683,0.000921592661230866,0.00402887826231578
