gene_id	gene_name	KO.F_1	KO.F_2	KO.M_1	KO.M_2	WT.F_1	WT.F_2	WT.M_1	WT.M_2
ENSMUSG00000000001	Gnai3	93.058697	90.540913	89.775181	95.888953	92.775704	93.044099	98.957343	104.033571
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	34.606848	35.314403	30.175376	37.072679	37.757146	36.908041	33.685265	33.035316
ENSMUSG00000000037	Scml2	0.441431	1.429846	0.334094	1.151672	1.969596	2.700283	1.242958	0.973861
ENSMUSG00000000049	Apoh	0	0	0	0	0	0	0	0
ENSMUSG00000000056	Narf	15.119632	15.838194	13.784004	14.9485	10.856199	12.609878	10.620108	12.629181
ENSMUSG00000000058	Cav2	74.788953	68.324785	86.418219	67.40236	84.071609	80.347555	66.791282	74.480825
ENSMUSG00000000078	Klf6	146.78133	153.693942	143.930117	164.769272	161.628944	156.333105	166.766607	168.736766
ENSMUSG00000000085	Scmh1	26.459388	21.361206	17.141138	24.279773	17.792194	23.540053	14.406337	20.166832
ENSMUSG00000000088	Cox5a	350.750863	342.03292	366.304903	333.153063	328.81232	348.248832	371.434484	351.266913
ENSMUSG00000000093	Tbx2	0	0	0.056181	0.073624	0.043528	0	0	0.026243
ENSMUSG00000000094	Tbx4	0	0	0	0	0	0	0	0
ENSMUSG00000000103	Zfy2	0	0	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	0	0	0	0	0	0	0	0
ENSMUSG00000000125	Wnt3	0	0	0	0	0	0	0	0
ENSMUSG00000000126	Wnt9a	0	0.025423	0	0.026947	0.21508	0.108472	0.030729	0.086446
ENSMUSG00000000127	Fer	6.449612	6.229205	4.542143	5.451415	11.991121	11.220296	9.189117	12.00568
ENSMUSG00000000131	Xpo6	50.819913	49.951786	51.594278	49.576731	49.676753	48.599886	51.569458	47.514451
ENSMUSG00000000134	Tfe3	68.127643	76.474981	76.888108	65.114121	85.315178	78.848765	83.637525	91.945579
ENSMUSG00000000142	Axin2	0	0	0	0	0	0.041736	0	0
ENSMUSG00000000148	Brat1	13.831652	13.867178	15.566934	13.577122	9.509061	11.006529	9.999007	10.516014
ENSMUSG00000000149	Gna12	45.325227	45.092575	43.907228	61.260749	91.925074	110.913239	109.84524	101.687932
ENSMUSG00000000154	Slc22a18	3.378809	2.823325	1.424778	2.739712	2.024847	1.315464	1.644742	1.72122
ENSMUSG00000000157	Itgb2l	0.688302	1.133629	1.517898	0.413511	0.156108	0.381354	0.073413	0.075289
ENSMUSG00000000159	Igsf5	0	0	0	0	0	0	0	0
ENSMUSG00000000167	Pih1d2	0.451955	0.279309	1.137892	0.563608	1.0402	1.11234	0.960864	0.663916
