"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mafb",2.84643579835001e-303,-2.50940620492165,0.111,0.759,4.56369051549457e-299
"Ifi27l2a",1.25751137674702e-190,-1.61437911505649,0.925,0.96,2.0161679903385e-186
"Irf7",1.69680477794727e-144,-1.38565742889785,0.601,0.848,2.72048710048285e-140
"B2m",8.81282444331502e-132,-0.524048568603309,0.989,0.995,1.4129601429967e-127
"Rtp4",1.10629687675289e-127,-1.32197022429939,0.35,0.696,1.7737257824979e-123
"Isg15",2.12398196866666e-122,-1.40307875803232,0.892,0.949,3.40538029036325e-118
"Slfn4",8.06751542066754e-106,-1.39666133474674,0.066,0.373,1.29346474739563e-101
"Ctsb",8.31710539188219e-106,-0.852377686722073,0.908,0.957,1.33348150748047e-101
"Ptgs2",2.58783485751453e-100,1.02364559279905,0.938,0.826,4.14907562705304e-96
"Aif1",1.84007286865003e-98,-0.964699397139154,0.796,0.869,2.9501888303066e-94
"Rpl5",6.01790165204028e-98,0.74166288131485,0.902,0.781,9.64850171871618e-94
"Lst1",1.12150777605585e-96,-0.902761803900042,0.751,0.861,1.79811341735035e-92
"Fabp5",8.04580738775242e-95,-1.49122167468439,0.4,0.713,1.28998429847835e-90
"Rpl3",1.32580915101941e-94,0.719541933327103,0.932,0.855,2.12566981182941e-90
"Rpl12",5.29067625050452e-93,0.73240073079419,0.916,0.845,8.4825412324339e-89
"mt-Atp6",1.2305727360085e-91,0.549812343070939,0.994,0.988,1.97297726764244e-87
"Nufip1",1.72276372895944e-91,-1.07454943963301,0.288,0.573,2.76210708664067e-87
"Fcgr1",9.28740144577027e-90,-0.872919441520453,0.332,0.63,1.48904907380035e-85
"Eef1a1",1.82486665192603e-85,0.583371772840354,0.972,0.943,2.92580870303301e-81
"Rack1",4.28748120527031e-85,0.607401692168211,0.939,0.88,6.87411861640988e-81
"Ddit3",4.5938023215349e-85,-0.951279057269498,0.663,0.824,7.3652432621169e-81
"Rps14",4.02052554286151e-84,0.509530245114713,0.953,0.924,6.44610860286986e-80
