"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Csmd3",4.47381360469167e-167,-1.15477627036614,0.448,0.855,7.17286535240216e-163
"Gm826",1.76272864754871e-139,0.690762487076278,0.346,0.037,2.82618284061485e-135
"Nav3",5.55293617114885e-137,-0.95468454797019,0.619,0.911,8.90302256320296e-133
"Axl",4.32336829034735e-127,0.831275262873269,0.432,0.101,6.9316563799139e-123
"Fcrls",2.92692488831142e-112,-0.851767089678452,0.601,0.842,4.6927386734297e-108
"Cd52",4.13516334107085e-107,0.859260145100053,0.838,0.581,6.6299073847389e-103
"Rps29",4.2782996106346e-94,0.463852632041072,0.966,0.963,6.85939776573045e-90
"Rps28",1.9217412131554e-92,0.539193516954417,0.948,0.919,3.08112768705205e-88
"Ctsh",1.75281091457341e-88,0.54695781140112,0.956,0.867,2.81028173933554e-84
"Rpl39",2.85554677472431e-87,0.525791264738263,0.947,0.931,4.57829814391549e-83
"Uba52",2.52681559058185e-85,0.598614482125461,0.808,0.544,4.05124343637988e-81
"Rpl41",8.7186971072825e-84,0.514001029595131,0.952,0.933,1.3978687072106e-79
"Rpl35",5.57286096928799e-81,0.551087897085619,0.927,0.857,8.93496799205943e-77
"B2m",1.35821544317174e-74,0.448314240858521,0.976,0.959,2.17762682003725e-70
"Rpl38",4.03637295325699e-73,0.501708722548062,0.946,0.912,6.47151675595694e-69
"Rnaset2a",5.69809727574519e-73,0.493227606714014,0.912,0.796,9.13575936220227e-69
"Igkc",5.94349502298277e-72,0.304883140620465,0.204,0.025,9.52920557034828e-68
"St8sia6",6.6636998451959e-72,0.502517700491469,0.266,0.059,1.06839099618026e-67
"Rpl37",4.71546835900883e-71,0.469574081037556,0.949,0.933,7.56031041999886e-67
"Arhgap15",1.35405443491312e-69,0.995914636134571,0.291,0.08,2.17095547549621e-65
"Cd34",1.72344365075005e-67,0.493583010597587,0.585,0.297,2.76319720524755e-63
"Rps21",2.33065993449927e-67,0.439683630247875,0.958,0.939,3.73674707298268e-63
"Ccnd3",1.84211303636623e-65,0.659711261518403,0.572,0.299,2.95345983120597e-61
"Rpl37a",3.31584988099103e-65,0.428839391445926,0.954,0.943,5.31630211419292e-61
"Sorl1",2.61023245141465e-62,0.441795096371841,0.325,0.104,4.18498568935311e-58
"Crybb1",3.30260952355172e-61,-0.651915866970984,0.38,0.594,5.29507384911048e-57
"Padi2",2.33090746386007e-60,0.412457773905529,0.361,0.131,3.73714393680685e-56
"Ctss",1.59458038298489e-55,0.342019974784349,0.976,0.972,2.55659072803968e-51
"Rps27",1.50153488822947e-50,0.375255977236249,0.95,0.936,2.40741088629831e-46
"Fkbp5",3.0544048914595e-49,0.458748800057491,0.428,0.203,4.89712736247701e-45
"Rplp2",5.88403615993686e-49,0.345822502879383,0.95,0.935,9.43387517522676e-45
"Tmem176a",7.97539928940478e-49,0.546033854645696,0.82,0.631,1.27869576807027e-44
"Bach1",1.57740745918127e-47,-0.528305490993283,0.873,0.905,2.52905737930533e-43
"Basp1",8.37908893089353e-47,-0.357218284455861,0.988,0.991,1.34341932829016e-42
"Tmsb10",8.78334999526147e-45,0.495284888768897,0.598,0.373,1.40823450474027e-40
"Psap",5.80572707109742e-44,0.325210574244707,0.967,0.956,9.30832221309049e-40
"Tmem176b",1.01490778877987e-43,0.481563442277547,0.869,0.734,1.62720165775076e-39
"Myo1e",1.49908179486732e-42,-0.837945128938502,0.533,0.678,2.40347784171078e-38
"Cdk6",4.89020256634444e-42,-0.60822737069797,0.714,0.806,7.84046177462004e-38
"Rps10",7.61487105808533e-42,0.3623938443831,0.94,0.901,1.22089227674282e-37
"Naalad2",2.23494763787732e-41,0.326382866211114,0.305,0.125,3.58329154780871e-37
"Ifrd1",4.45689679714592e-41,-0.53331258322913,0.928,0.951,7.14574263486405e-37
