"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hbb-bs",4.79590372926742e-27,1.75673098325294,0.139,0.041,7.68927244913446e-23
"Apoe",7.62982301023323e-09,1.01734402799834,0.54,0.465,0.000122328952323069
"Arhgap15",1.35405443491312e-69,0.995914636134571,0.291,0.08,2.17095547549621e-65
"Cd52",4.13516334107085e-107,0.859260145100053,0.838,0.581,6.6299073847389e-103
"Axl",4.32336829034735e-127,0.831275262873269,0.432,0.101,6.9316563799139e-123
"P4ha1",9.11622233330248e-38,0.693004210487964,0.699,0.482,1.46160392669839e-33
"Gm826",1.76272864754871e-139,0.690762487076278,0.346,0.037,2.82618284061485e-135
"Ccnd3",1.84211303636623e-65,0.659711261518403,0.572,0.299,2.95345983120597e-61
"Rgs1",4.09882996059578e-21,0.637871264918709,0.617,0.471,6.57165407582321e-17
"Uba52",2.52681559058185e-85,0.598614482125461,0.808,0.544,4.05124343637988e-81
"Hsph1",6.53727541686201e-27,0.581686728069356,0.471,0.295,1.04812136758549e-22
"Rpl35",5.57286096928799e-81,0.551087897085619,0.927,0.857,8.93496799205943e-77
"Ctsh",1.75281091457341e-88,0.54695781140112,0.956,0.867,2.81028173933554e-84
"Tmem176a",7.97539928940478e-49,0.546033854645696,0.82,0.631,1.27869576807027e-44
"Rps28",1.9217412131554e-92,0.539193516954417,0.948,0.919,3.08112768705205e-88
"Rpl39",2.85554677472431e-87,0.525791264738263,0.947,0.931,4.57829814391549e-83
"Cybb",1.72254827067679e-24,0.515371805308294,0.167,0.066,2.7617616423761e-20
"Rassf3",2.09347243364673e-38,0.514430264216635,0.668,0.454,3.35646435286581e-34
"Rpl41",8.7186971072825e-84,0.514001029595131,0.952,0.933,1.3978687072106e-79
"St8sia6",6.6636998451959e-72,0.502517700491469,0.266,0.059,1.06839099618026e-67
"Rpl38",4.03637295325699e-73,0.501708722548062,0.946,0.912,6.47151675595694e-69
"Tmsb10",8.78334999526147e-45,0.495284888768897,0.598,0.373,1.40823450474027e-40
"Cd34",1.72344365075005e-67,0.493583010597587,0.585,0.297,2.76319720524755e-63
"Rnaset2a",5.69809727574519e-73,0.493227606714014,0.912,0.796,9.13575936220227e-69
"Tmem176b",1.01490778877987e-43,0.481563442277547,0.869,0.734,1.62720165775076e-39
"Glul",3.51217007322136e-38,0.478263623947436,0.903,0.787,5.63106227839581e-34
"Rpl37",4.71546835900883e-71,0.469574081037556,0.949,0.933,7.56031041999886e-67
"Rps29",4.2782996106346e-94,0.463852632041072,0.966,0.963,6.85939776573045e-90
"Fkbp5",3.0544048914595e-49,0.458748800057491,0.428,0.203,4.89712736247701e-45
"Ifitm3",1.14550063630286e-21,0.454799674159775,0.281,0.151,1.83658117018437e-17
"B2m",1.35821544317174e-74,0.448314240858521,0.976,0.959,2.17762682003725e-70
"Ssbp2",6.60886713268103e-35,0.448018094112568,0.636,0.426,1.05959966738275e-30
"Rilpl2",8.80748355190083e-26,0.447239143290825,0.553,0.392,1.41210383787626e-21
"Zfp36l2",1.48356192586559e-31,0.441981240028521,0.659,0.469,2.37859483574031e-27
"Sorl1",2.61023245141465e-62,0.441795096371841,0.325,0.104,4.18498568935311e-58
"Mt1",8.85568198483742e-10,0.441571224329197,0.778,0.675,1.41983149262898e-05
"Alkbh5",8.51624972114819e-10,0.439824411357944,0.512,0.396,1.36541031779169e-05
"Rps21",2.33065993449927e-67,0.439683630247875,0.958,0.939,3.73674707298268e-63
"Hspa1b",1.55604883978116e-16,0.430284837765704,0.63,0.496,2.49481310482113e-12
"Rpl37a",3.31584988099103e-65,0.428839391445926,0.954,0.943,5.31630211419292e-61
"Hk2",2.35663448107018e-17,0.428373762808598,0.867,0.755,3.77839206349981e-13
"H2-Ab1",5.52960832627788e-11,0.421650279236204,0.478,0.518,8.86562102952133e-07
"Ifi27l2a",1.68773615353718e-21,0.42032195361867,0.459,0.294,2.70594737496617e-17
"Pag1",5.56933934212024e-23,0.417152974305233,0.91,0.812,8.92932176722137e-19
"Padi2",2.33090746386007e-60,0.412457773905529,0.361,0.131,3.73714393680685e-56
"Otulinl",2.41687035853182e-27,0.398246872944508,0.885,0.771,3.87496824583406e-23
"H2-Aa",3.98282100561464e-11,0.396681730088875,0.412,0.458,6.38565691830195e-07
"Dnajb1",1.19045519905673e-13,0.391170463870937,0.553,0.421,1.90865682064766e-09
"Zfp36l1",1.4244938231816e-21,0.382190157828451,0.848,0.745,2.28389094670706e-17
"Man2b1",7.3551827698146e-37,0.378468794558848,0.849,0.69,1.17925645348438e-32
"Ucp2",2.68697497421828e-25,0.377560226567716,0.854,0.735,4.30802697616416e-21
"Rps27",1.50153488822947e-50,0.375255977236249,0.95,0.936,2.40741088629831e-46
"Fam129a",3.77225371646009e-37,0.374078819285629,0.432,0.232,6.04805438360046e-33
"Camk1d",7.28471811553652e-30,0.3716753235868,0.97,0.913,1.16795885546397e-25
"Tent5a",7.37467541576603e-27,0.371631590846377,0.431,0.261,1.18238170940977e-22
"Trf",3.93787568281657e-36,0.368211245318562,0.912,0.816,6.3135960822598e-32
"Irf2bp2",6.66676125566572e-32,0.36667628080567,0.848,0.674,1.06888183212088e-27
"Rps10",7.61487105808533e-42,0.3623938443831,0.94,0.901,1.22089227674282e-37
"Mertk",2.76903561970376e-27,0.35675628215757,0.941,0.86,4.43959480907104e-23
"Ssh2",1.77038812896303e-21,0.352584424381201,0.9,0.801,2.83846328716642e-17
"Map3k3",1.11424659407086e-27,0.347377692287005,0.648,0.452,1.78647156427382e-23
"Rplp2",5.88403615993686e-49,0.345822502879383,0.95,0.935,9.43387517522676e-45
"Gdpd3",2.04006810536918e-22,0.343498100166269,0.449,0.293,3.2708411933384e-18
"Ctss",1.59458038298489e-55,0.342019974784349,0.976,0.972,2.55659072803968e-51
"0610040J01Rik",6.79001070283975e-22,0.341025037713283,0.657,0.488,1.0886424159863e-17
"P3h2",9.95163001280351e-23,0.339267710033778,0.708,0.553,1.59554483995279e-18
"Tex14",2.53466073795976e-23,0.338357031159971,0.469,0.299,4.06382156117088e-19
