"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mafb",8.4321578246506e-54,-2.44421170983795,0.013,0.919,1.35192786402623e-49
"Gm826",1.35908737326401e-47,1.14619928693643,0.81,0.027,2.17902478555419e-43
"C1qb",2.13589438700761e-29,-2.38023544836972,0.438,0.914,3.4244794706893e-25
"C1qa",2.47412059800336e-25,-2.3196617412174,0.366,0.854,3.96675755477879e-21
"Lyz2",4.99140612249168e-25,-0.890823504133711,1,1,8.00272143619091e-21
"C1qc",7.22794243031143e-23,-1.82223562767984,0.255,0.778,1.15885600985183e-18
"Retnla",1.39024587680667e-20,-1.56289763118187,0.882,0.978,2.22898121428413e-16
"Pglyrp1",5.76938027792836e-18,1.25078297273816,0.745,0.395,9.25004739960253e-14
"Dhrs3",2.8991087465296e-17,-0.605637274566474,0.941,0.995,4.6481410533109e-13
"Apoe",1.71200605402429e-15,-2.64557821255595,0.732,0.973,2.74485930641715e-11
"B2m",2.48798112845664e-15,-0.491398661134289,1,0.995,3.98898014325454e-11
"Gbp2b",2.77012795472429e-15,-0.723989575644266,0.327,0.703,4.44134614980946e-11
"Ccl24",4.65946114312218e-15,-1.15006422982928,0.366,0.746,7.47051405076779e-11
"Fxyd5",4.90849049569109e-15,0.548079416016477,1,0.989,7.86978281174153e-11
"Aif1",4.03489628296878e-14,-0.568905605250166,0.176,0.605,6.46914921048385e-10
"Cd36",3.57207660318299e-13,-0.716175882360388,0.784,0.946,5.72711041788328e-09
"Tuba4a",4.48924344258075e-13,0.499149167264797,0.654,0.341,7.19760401148972e-09
"C5ar1",4.89094936374125e-13,-0.598993204299312,0.235,0.589,7.84165911488634e-09
"Fth1",1.20694131785054e-12,0.428580626685367,1,1,1.93508901490977e-08
"Hspa8",1.32997765167311e-12,0.471953299667494,1,0.995,2.13235316892749e-08
"Cd24a",8.00061404094852e-12,0.721523026122836,0.837,0.584,1.28273844918528e-07
"Spred1",1.34517691389729e-11,-0.516103351461036,0.51,0.854,2.15672214605152e-07
"Csf1r",2.0868828157267e-11,-0.458792462550769,0.948,0.995,3.34589921845461e-07
"Dab2",3.51422445495033e-11,-0.867358446132416,0.444,0.746,5.63435606862187e-07
"Anxa3",6.98343811089915e-11,-0.581277839983993,0.641,0.897,1.11965463232046e-06
"Pf4",1.34294281129109e-10,-1.93904210056434,0.157,0.481,2.153140209343e-06
"Fgr",1.79319467505503e-10,0.484384401795769,0.967,0.935,2.87502902251572e-06
"Ckb",2.30633623373532e-10,0.469143124315261,0.961,0.876,3.69774888354785e-06
"Ftl1",2.72029215598225e-10,-0.382503975619572,1,1,4.36144441368634e-06
"Marcks",3.56337443685041e-10,-0.626467923259308,0.797,0.914,5.71315823460226e-06
"Slc7a8",5.00515805973496e-10,-0.35097296521913,0.346,0.665,8.02476991717306e-06
"Cd5l",5.91034106260732e-10,-0.624806613252616,0.203,0.53,9.47604982567832e-06
"Rps21",1.4584103052195e-09,0.262452090166915,1,1,2.33826924235843e-05
"Rap1b",2.78529477457904e-09,-0.383790260267017,1,1,4.46566311208257e-05
"Cd244a",3.94700581507375e-09,0.3953746839844,0.791,0.551,6.32823442330775e-05
"Pitpnc1",5.73464619559616e-09,-1.12131722616743,0.739,0.838,9.19435824539933e-05
"Coro1a",6.82373326567843e-09,0.441803192006812,0.993,0.935,0.000109404915448622
"Plxdc2",6.85451172765745e-09,-1.05500736034166,0.882,0.946,0.000109898386529532
"Golph3l",7.64371688128231e-09,0.27549034975191,0.569,0.281,0.000122551712757599
"Cd52",1.08573341957507e-08,0.413041888983932,1,0.989,0.000174075639160472
"Rin3",1.34293590191686e-08,0.421534710611774,0.935,0.87,0.00021531291315433
"Arrb2",1.4417522324106e-08,-0.401293851653496,0.562,0.773,0.000231156135422392
