"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pglyrp1",5.76938027792836e-18,1.25078297273816,0.745,0.395,9.25004739960253e-14
"Gm826",1.35908737326401e-47,1.14619928693643,0.81,0.027,2.17902478555419e-43
"C4b",6.88026475877935e-07,0.943661045937676,0.784,0.595,0.0110311284877509
"Cd24a",8.00061404094852e-12,0.721523026122836,0.837,0.584,1.28273844918528e-07
"Colec12",3.85536219643722e-08,0.578497874863274,0.373,0.13,0.00061813022095478
"Napsa",2.35924391147187e-08,0.570798773254105,0.81,0.724,0.000378257576326285
"Id2",2.06705873110844e-08,0.553011422222897,0.987,0.93,0.000331411526358616
"Fxyd5",4.90849049569109e-15,0.548079416016477,1,0.989,7.86978281174153e-11
"Akr1c18",7.60912673706239e-07,0.52432091695445,0.392,0.168,0.0121997128975321
"Olfm1",2.22726131398974e-07,0.510550677116303,0.863,0.746,0.00357096806471976
"Tuba4a",4.48924344258075e-13,0.499149167264797,0.654,0.341,7.19760401148972e-09
"Hpgd",9.98452280573617e-07,0.493493725716046,0.32,0.119,0.0160081854144368
"Fgr",1.79319467505503e-10,0.484384401795769,0.967,0.935,2.87502902251572e-06
"Hspa8",1.32997765167311e-12,0.471953299667494,1,0.995,2.13235316892749e-08
"Ckb",2.30633623373532e-10,0.469143124315261,0.961,0.876,3.69774888354785e-06
"Fnbp1",5.57048916091756e-07,0.460521858316234,0.98,0.978,0.00893116527169913
"Gm2a",4.73261850670365e-07,0.447615138789242,0.993,0.973,0.00758780725179796
"Coro1a",6.82373326567843e-09,0.441803192006812,0.993,0.935,0.000109404915448622
"Upb1",4.40150297839637e-07,0.437624558110535,0.771,0.584,0.0070569297252629
"Hepacam2",1.89165752423635e-08,0.433207943699193,0.765,0.514,0.000303289450860814
"Fth1",1.20694131785054e-12,0.428580626685367,1,1,1.93508901490977e-08
"Plbd1",1.63578928530786e-06,0.422006741194439,0.908,0.773,0.0262266096113409
"Rin3",1.34293590191686e-08,0.421534710611774,0.935,0.87,0.00021531291315433
"Cd52",1.08573341957507e-08,0.413041888983932,1,0.989,0.000174075639160472
"Ltb4r1",2.69747544392661e-06,0.401619584229902,0.856,0.724,0.0432486237924753
"Cd244a",3.94700581507375e-09,0.3953746839844,0.791,0.551,6.32823442330775e-05
"Mpeg1",8.38030643971367e-07,0.370563830541769,0.974,0.946,0.0134361453147929
"Cbfa2t3",7.43827012085318e-07,0.357830963118484,0.948,0.854,0.0119257784847639
"Vrk1",2.93468633682803e-07,0.353932026747213,0.732,0.578,0.00470518260383638
"Aldoa",2.0443754190924e-07,0.352761169330545,0.954,0.962,0.00327774710943084
"Pdlim1",1.15087752539869e-06,0.350519532519769,0.935,0.897,0.0184520193647172
"Arhgap45",5.81355082742986e-07,0.350105173860134,0.967,0.951,0.00932086604161829
"St3gal4",2.43301202614871e-06,0.347583689307954,0.987,0.973,0.0390084818152423
"Ipcef1",9.05141091526297e-07,0.344378098524094,0.569,0.341,0.0145121271204411
"Ccnd3",2.80570089852201e-07,0.320945846358403,0.941,0.924,0.00449838025060033
"Akap13",6.11224296677016e-07,0.315263004572265,0.993,0.978,0.0097997591486226
"Lsp1",4.16110569924002e-07,0.307586256614006,1,1,0.00667150076759152
"Ptprc",5.1057587023068e-07,0.304812474623877,1,1,0.00818606292740849
"Rps27rt",4.57135066204446e-07,0.304351298612948,0.843,0.746,0.00732924651645588
"Sort1",3.21267310722602e-07,0.293933220598565,0.549,0.297,0.00515087879281548
"Sorl1",7.56224586443006e-07,0.283707876722871,0.516,0.281,0.0121245487944407
"Golph3l",7.64371688128231e-09,0.27549034975191,0.569,0.281,0.000122551712757599
"Rps21",1.4584103052195e-09,0.262452090166915,1,1,2.33826924235843e-05
"Rpl13",1.96240562924221e-06,0.252450353386432,1,0.995,0.0314632494536403
"Tlr4",1.96887898986976e-06,-0.275036664611195,0.458,0.692,0.0315670368445818
"H2-Q7",9.5001462890713e-07,-0.291556528893652,0.529,0.768,0.015231584545268
"Igfbp4",1.4063877250176e-06,-0.324304485903385,0.046,0.232,0.0225486143952071
"Snx2",7.07112210298649e-07,-0.32902276805914,0.778,0.919,0.0113371300677182
"Slc7a8",5.00515805973496e-10,-0.35097296521913,0.346,0.665,8.02476991717306e-06
"Calml4",3.07836008135722e-06,-0.36786200493424,0.196,0.427,0.0493553471844003
"Mertk",1.61530361335599e-07,-0.375640987093478,0.373,0.665,0.00258981628329365
"Bcl2a1b",1.02694880088937e-06,-0.376300987639798,0.732,0.822,0.0164650701246593
"Ftl1",2.72029215598225e-10,-0.382503975619572,1,1,4.36144441368634e-06
"Rap1b",2.78529477457904e-09,-0.383790260267017,1,1,4.46566311208257e-05
"Lpp",1.6661630684197e-07,-0.396308510881769,0.778,0.914,0.00267135924759731
"Arrb2",1.4417522324106e-08,-0.401293851653496,0.562,0.773,0.000231156135422392
"Slfn5",2.23778594985268e-07,-0.406562941017151,0.261,0.524,0.0035878422133988
"Dpysl3",3.45840957339185e-08,-0.412448039135529,0.144,0.411,0.000554486806901915
"Loxl2",1.95139802226101e-06,-0.412580372222435,0.072,0.265,0.0312867644909108
"Ccnd2",3.35371355195116e-08,-0.416175776888956,0.176,0.465,0.00053770089378433
"C3ar1",5.57178593243293e-07,-0.429953422332493,0.327,0.578,0.00893324438546972
"Hal",3.44273815692385e-08,-0.433575819012662,0.085,0.335,0.000551974208699601
"Csf1r",2.0868828157267e-11,-0.458792462550769,0.948,0.995,3.34589921845461e-07
"Gm21188",3.22727605318924e-08,-0.462261974965522,0.882,0.973,0.00051742916960783
"Sash1",3.52775648952748e-07,-0.478002757482006,0.353,0.611,0.00565605197965942
"B2m",2.48798112845664e-15,-0.491398661134289,1,0.995,3.98898014325454e-11
"Cd81",9.49480533055895e-07,-0.493461617624572,0.941,0.957,0.0152230213864852
"Spred1",1.34517691389729e-11,-0.516103351461036,0.51,0.854,2.15672214605152e-07
"Aif1",4.03489628296878e-14,-0.568905605250166,0.176,0.605,6.46914921048385e-10
"Vsig4",1.44854167604171e-06,-0.577234875022233,0.052,0.254,0.0232244686919768
"Anxa3",6.98343811089915e-11,-0.581277839983993,0.641,0.897,1.11965463232046e-06
"C5ar1",4.89094936374125e-13,-0.598993204299312,0.235,0.589,7.84165911488634e-09
"Dhrs3",2.8991087465296e-17,-0.605637274566474,0.941,0.995,4.6481410533109e-13
"Cd5l",5.91034106260732e-10,-0.624806613252616,0.203,0.53,9.47604982567832e-06
"Marcks",3.56337443685041e-10,-0.626467923259308,0.797,0.914,5.71315823460226e-06
"Bank1",2.96804688370132e-07,-0.649729850589146,0.843,0.924,0.00475866956863833
"Cd36",3.57207660318299e-13,-0.716175882360388,0.784,0.946,5.72711041788328e-09
"Gbp2b",2.77012795472429e-15,-0.723989575644266,0.327,0.703,4.44134614980946e-11
"Selenop",6.61208108865582e-07,-0.82039077143802,0.81,0.919,0.0106011496094419
"Dab2",3.51422445495033e-11,-0.867358446132416,0.444,0.746,5.63435606862187e-07
"Lyz2",4.99140612249168e-25,-0.890823504133711,1,1,8.00272143619091e-21
"Plxdc2",6.85451172765745e-09,-1.05500736034166,0.882,0.946,0.000109898386529532
"Pitpnc1",5.73464619559616e-09,-1.12131722616743,0.739,0.838,9.19435824539933e-05
"Ccl24",4.65946114312218e-15,-1.15006422982928,0.366,0.746,7.47051405076779e-11
"Ednrb",7.3548223077178e-08,-1.41147165150291,0.261,0.524,0.00117919866059639
"Retnla",1.39024587680667e-20,-1.56289763118187,0.882,0.978,2.22898121428413e-16
"C1qc",7.22794243031143e-23,-1.82223562767984,0.255,0.778,1.15885600985183e-18
"Pf4",1.34294281129109e-10,-1.93904210056434,0.157,0.481,2.153140209343e-06
"C1qa",2.47412059800336e-25,-2.3196617412174,0.366,0.854,3.96675755477879e-21
"C1qb",2.13589438700761e-29,-2.38023544836972,0.438,0.914,3.4244794706893e-25
"Mafb",8.4321578246506e-54,-2.44421170983795,0.013,0.919,1.35192786402623e-49
"Apoe",1.71200605402429e-15,-2.64557821255595,0.732,0.973,2.74485930641715e-11
