"","Gene","baseMean","log2FoldChange.x","lfcSE.x","stat.x","pvalue.x","padj.x","log2FoldChange.y","lfcSE.y","stat.y","pvalue.y","padj.y"
"1","Cspg4",525.710900543387,2.25419070520893,0.139897352132062,16.113176345761,2.06156531092236e-58,2.98164190918701e-54,1.97299948585169,0.122153017500752,16.113176345761,2.06156531092236e-58,2.98164190918701e-54
"2","Cd109",172.881842530818,1.66380583286174,0.169392245688509,9.82220777638947,9.03429201432876e-23,1.18784514002943e-19,1.37811027873203,0.139696805075795,9.82220777638947,9.03429201432876e-23,1.18784514002943e-19
"3","Cd226",127.206267496361,1.84385102539258,0.218399748253228,8.44255105667379,3.10485732692793e-17,1.87106464663994e-14,1.37127977209753,0.161561281997775,8.44255105667379,3.10485732692793e-17,1.87106464663994e-14
"4","Dpysl3",1072.05173880426,1.31918654384392,0.106547906138486,12.3811587825039,3.3053563987075e-35,7.96756159908443e-32,1.21738199528635,0.0984000584329929,12.3811587825039,3.3053563987075e-35,7.96756159908443e-32
"5","Gm21188",549.893684250908,1.32368238162638,0.146659363584125,9.025556563711,1.78784228940359e-19,1.23131252531639e-16,1.14657689562355,0.126767473980803,9.025556563711,1.78784228940359e-19,1.23131252531639e-16
"6","S100a4",2612.75622606368,1.21568186587817,0.0953432056878278,12.7505872821032,3.09405539890217e-37,1.49164410781074e-33,1.1404576472116,0.0894406513065204,12.7505872821032,3.09405539890217e-37,1.49164410781074e-33
"7","AA467197",444.305688859185,1.26182040937552,0.139251403662045,9.06145558459061,1.28721179494907e-19,9.30847209517418e-17,1.10381051350181,0.121990686824344,9.06145558459061,1.28721179494907e-19,9.30847209517418e-17
"8","Rarb",59.3623695078297,1.77138767171049,0.299944469374295,5.90571873322327,3.51112578917247e-09,4.65884516411022e-07,1.06694128012265,0.181093712078685,5.90571873322327,3.51112578917247e-09,4.65884516411022e-07
"9","Igf2r",407.15973426025,1.18791220996098,0.147818444810286,8.03629216560608,9.25978026679583e-16,4.9601556295803e-13,1.02511858978831,0.127524875459444,8.03629216560608,9.25978026679583e-16,4.9601556295803e-13
"10","Cd22",288.528203976182,-1.41817773472841,0.230016993511534,-6.16553461149945,7.02454022580875e-10,1.104303535716e-07,-1.01450356234131,0.166172506968743,-6.16553461149945,7.02454022580875e-10,1.104303535716e-07
"11","Adam22",492.841298199071,-1.26215908190931,0.174034537826041,-7.25234828486128,4.096069502344e-13,1.18482906424803e-10,-1.03501758411948,0.142638792401962,-7.25234828486128,4.096069502344e-13,1.18482906424803e-10
"12","Klhl13",247.253480002796,-1.26092492192771,0.163612899576361,-7.70675738399965,1.29054812195865e-14,5.65612045087516e-12,-1.05607608137764,0.136867865831378,-7.70675738399965,1.29054812195865e-14,5.65612045087516e-12
"13","Nes",3079.44072394437,-1.12924409451148,0.0940314431290652,-12.0092179481017,3.17836471054603e-33,5.74608610107839e-30,-1.06260817336033,0.0883588384535564,-12.0092179481017,3.17836471054603e-33,5.74608610107839e-30
"14","Cpne8",300.567975334006,-1.35711029059974,0.188869394918044,-7.18544310044847,6.69895696783281e-13,1.79420397455122e-10,-1.0841330448998,0.149867767749164,-7.18544310044847,6.69895696783281e-13,1.79420397455122e-10
"15","Zfp827",79.4001602517373,-1.55244711394716,0.22185123288271,-6.99769432774764,2.60209015811962e-12,6.27233832614734e-10,-1.14515218048736,0.162796128905514,-6.99769432774764,2.60209015811962e-12,6.27233832614734e-10
"16","Ildr2",866.19003441138,-1.50691229401003,0.204443746548026,-7.37079181659412,1.69617544369967e-13,5.98336230298251e-11,-1.15156742564448,0.156884594162456,-7.37079181659412,1.69617544369967e-13,5.98336230298251e-11
"17","Plag1",87.2083500178061,-1.83861347935017,0.28504022140299,-6.45036504076645,1.11581058672744e-10,2.09584006699208e-08,-1.1527095478461,0.178996865680005,-6.45036504076645,1.11581058672744e-10,2.09584006699208e-08
"18","Il18r1",382.102223635569,-1.36995990412152,0.107701561878147,-12.7199632041687,4.58075855263269e-37,1.65628777366816e-33,-1.26216231621068,0.0991534556490899,-12.7199632041687,4.58075855263269e-37,1.65628777366816e-33
"19","Lilra5",1962.63337729458,-1.4192832251976,0.114004583939963,-12.44935226416,1.40984692822838e-35,4.07812322459342e-32,-1.29735619520198,0.104170069488933,-12.44935226416,1.40984692822838e-35,4.07812322459342e-32
"20","Tmem119",1846.29231402221,-1.44902571944869,0.117911987707592,-12.2890449700679,1.03724176388526e-34,2.14308966158178e-31,-1.31711570987088,0.107093793123163,-12.2890449700679,1.03724176388526e-34,2.14308966158178e-31
"21","Lrrc3",99.3201712914042,-1.89956267027328,0.242925420115766,-7.81953024664131,5.30208214079379e-15,2.61719951933524e-12,-1.32431404720266,0.168808546133521,-7.81953024664131,5.30208214079379e-15,2.61719951933524e-12
"22","H2.M2",1336.07104907507,-2.26647648690216,0.310130583892432,-7.30813600663221,2.70873552100954e-13,9.11080042799093e-11,-1.32651439281895,0.182781734895266,-7.30813600663221,2.70873552100954e-13,9.11080042799093e-11
"23","Cd4",2375.12228405023,-1.96040860455223,0.253192234842122,-7.74276748959002,9.72758354055801e-15,4.39656377334658e-12,-1.33145766142941,0.172894626644922,-7.74276748959002,9.72758354055801e-15,4.39656377334658e-12
"24","Ppp1r9a",474.53322661769,-1.65100081286558,0.174167812759083,-9.4793681261263,2.55827482075899e-21,2.31252054578983e-18,-1.3503848912474,0.142623638520609,-9.4793681261263,2.55827482075899e-21,2.31252054578983e-18
"25","Capn3",62.3310725765989,-2.11648508115638,0.276912285010492,-7.64316065311507,2.11953257416013e-14,8.28508097839945e-12,-1.36543427749335,0.176122351038608,-7.64316065311507,2.11953257416013e-14,8.28508097839945e-12
"26","Edil3",104.825755740175,-2.12466156950395,0.233858649213289,-9.08523835509786,1.03471714996321e-19,7.87637586311466e-17,-1.52184913678301,0.166471492838245,-9.08523835509786,1.03471714996321e-19,7.87637586311466e-17
"27","Mmp13",4363.10883562528,-1.82180635026081,0.151949040610668,-11.9895877126907,4.02905512053624e-33,6.47469157870173e-30,-1.56517413961138,0.13014868661629,-11.9895877126907,4.02905512053624e-33,6.47469157870173e-30
"28","Peg10",270.909916840798,-2.27348003359541,0.235366961131994,-9.65929977028696,4.4892187651513e-22,4.77021064661904e-19,-1.61574055228067,0.167460744713638,-9.65929977028696,4.4892187651513e-22,4.77021064661904e-19
"29","Igf2bp3",73.8555441415621,-2.83104516137196,0.29273103137583,-9.6711481118558,3.99866632084692e-22,4.77021064661904e-19,-1.75197909709292,0.178544089213452,-9.6711481118558,3.99866632084692e-22,4.77021064661904e-19
"30","Tcim",2206.40984660397,-2.26910494872029,0.141806840833726,-16.0013786033136,1.24976721435424e-57,9.03769161060271e-54,-1.97533963818073,0.12368278016274,-16.0013786033136,1.24976721435424e-57,9.03769161060271e-54
