"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cd226",0,2.21833125614043,0.789,0.005,0,"SPM WT","Cd226"
"Aff3",0,2.09448092120316,0.719,0.006,0,"SPM WT","Aff3"
"Tenm4",0,1.47015688928648,0.659,0.01,0,"SPM WT","Tenm4"
"Aldh1a2",0,1.4404154222651,0.778,0.039,0,"SPM WT","Aldh1a2"
"Stxbp6",0,1.30866927833782,0.778,0.047,0,"SPM WT","Stxbp6"
"Cd2",0,1.02222966987474,0.686,0.007,0,"SPM WT","Cd2"
"Upb1",0,0.900877874922304,0.584,0.017,0,"SPM WT","Upb1"
"Tmem154",0,0.889970001969325,0.757,0.029,0,"SPM WT","Tmem154"
"Kcnn4",0,0.822112005996267,0.697,0.027,0,"SPM WT","Kcnn4"
"Celf4",0,0.701298160274921,0.649,0.032,0,"SPM WT","Celf4"
"Rem1",0,0.630200046053617,0.568,0.005,0,"SPM WT","Rem1"
"Hr",0,0.576394463374075,0.459,0.002,0,"SPM WT","Hr"
"Klrb1a",0,0.57058476998786,0.519,0.002,0,"SPM WT","Klrb1a"
"Dhcr24",0,0.498215542270606,0.535,0.018,0,"SPM WT","Dhcr24"
"Spink2",0,0.493855071020595,0.416,0.006,0,"SPM WT","Spink2"
"Lilra6",0,0.478342925000347,0.519,0.017,0,"SPM WT","Lilra6"
"Ndnf",0,0.458942591250087,0.395,0.004,0,"SPM WT","Ndnf"
"Kazald1",0,0.363299173558137,0.362,0.003,0,"SPM WT","Kazald1"
"Cebpe",0,0.278764008679634,0.346,0.005,0,"SPM WT","Cebpe"
"Cfap99",0,0.264258940482078,0.308,0.003,0,"SPM WT","Cfap99"
"Scn2b",0,0.259070262859755,0.416,0.003,0,"SPM WT","Scn2b"
"Mamdc2",6.89997885337837e-304,0.382127176217061,0.319,0.004,1.10627360956215e-299,"SPM WT","Mamdc2"
"Skint3",1.53383648678252e-301,1.32051804175945,0.8,0.062,2.45920003925841e-297,"SPM WT","Skint3"
"Sdc1",9.25046913851123e-290,0.523617115289431,0.578,0.027,1.48312771697751e-285,"SPM WT","Sdc1"
"Map4k1",1.0178749098065e-276,0.759141227003825,0.735,0.053,1.63195884289275e-272,"SPM WT","Map4k1"
"A530064D06Rik",7.59845925482024e-254,0.462090257716683,0.546,0.028,1.21826097232533e-249,"SPM WT","A530064D06Rik"
"Clec4b1",1.78261429293175e-253,1.31934803147982,0.784,0.069,2.85806549585747e-249,"SPM WT","Clec4b1"
"Rnf152",1.15081678894153e-249,0.294636549669881,0.292,0.005,1.84510455770995e-245,"SPM WT","Rnf152"
"Retnla",2.13828479692777e-245,5.99386104619364,0.978,0.155,3.4283120149143e-241,"SPM WT","Retnla"
"Ltb4r1",7.74639764619885e-237,1.3110413331999,0.724,0.064,1.24197993461506e-232,"SPM WT","Ltb4r1"
"F13a1",1.20941570702903e-236,2.59939503072579,0.951,0.129,1.93905620307964e-232,"SPM WT","F13a1"
"Akr1c18",5.02493472854693e-236,0.281656444386661,0.168,0,8.0564778502793e-232,"SPM WT","Akr1c18"
"Plxnd1",1.04103760895864e-233,1.6669923917243,0.87,0.108,1.66909559844339e-229,"SPM WT","Plxnd1"
"Gfi1b",5.51320638228616e-228,0.280089953493854,0.427,0.018,8.8393237927194e-224,"SPM WT","Gfi1b"
"Ptger2",1.05017039731486e-216,0.392206315878374,0.524,0.032,1.68373819801492e-212,"SPM WT","Ptger2"
"Acpp",2.88303189671408e-216,0.404114753407257,0.481,0.027,4.62236504000168e-212,"SPM WT","Acpp"
"Hepacam2",3.55042022795857e-213,0.597912793525732,0.514,0.031,5.69238875148598e-209,"SPM WT","Hepacam2"
"Gramd4",1.24126311745349e-208,0.739295245232019,0.762,0.079,1.99011715621319e-204,"SPM WT","Gramd4"
"Espn",2.4035687692009e-208,0.435423493345532,0.492,0.029,3.85364180765981e-204,"SPM WT","Espn"
"Slc13a3",4.2151676941382e-205,0.48451914547581,0.605,0.046,6.75817836401177e-201,"SPM WT","Slc13a3"
"Ryr1",4.51893213096946e-205,0.857523781335619,0.741,0.077,7.24520388558333e-201,"SPM WT","Ryr1"
"Gfra2",4.32469808293412e-194,0.636987065996034,0.654,0.059,6.93378843636828e-190,"SPM WT","Gfra2"
"Thsd4",5.48001406927821e-192,0.968742960474391,0.443,0.026,8.78610655727375e-188,"SPM WT","Thsd4"
"Ccr2",1.27320472219921e-176,3.15231556613419,0.886,0.175,2.041329131102e-172,"SPM WT","Ccr2"
"Ptgir",1.49578471171874e-175,0.434200852930231,0.584,0.052,2.39819162829866e-171,"SPM WT","Ptgir"
"Olfm1",3.7832359497762e-175,1.17863305158302,0.746,0.094,6.06566219827618e-171,"SPM WT","Olfm1"
"Dna2",5.9572509684748e-170,0.632245979710875,0.627,0.064,9.55126047775565e-166,"SPM WT","Dna2"
"Capn5",4.0022717078452e-165,0.535394024836443,0.719,0.087,6.41684222918821e-161,"SPM WT","Capn5"
"Hopx",1.85226585296194e-163,1.38191184415272,0.881,0.162,2.96973784205388e-159,"SPM WT","Hopx"
"Kbtbd11",4.05483648726715e-160,0.460696190600874,0.568,0.054,6.50111934003543e-156,"SPM WT","Kbtbd11"
"Gapt",6.32723395564861e-158,0.4565271620401,0.622,0.067,1.01444542010914e-153,"SPM WT","Gapt"
"Arhgap26.1",1.79233032304733e-157,1.52549135072198,0.946,0.197,2.87364320694178e-153,"SPM WT","Arhgap26.1"
"Zfyve28",4.74108217846465e-157,0.279219815714464,0.384,0.023,7.60137705673238e-153,"SPM WT","Zfyve28"
"Kank3",6.61954416622782e-157,0.369640667490164,0.492,0.041,1.06131151617131e-152,"SPM WT","Kank3"
"H2-DMb2",7.03801712867989e-156,1.40714908059779,0.692,0.093,1.12840528624125e-151,"SPM WT","H2-DMb2"
"Il27ra",3.06403689178434e-155,0.345962087588889,0.497,0.042,4.91257034859783e-151,"SPM WT","Il27ra"
"Ak8",1.16614320023641e-154,0.532621389751436,0.6,0.065,1.86967739293904e-150,"SPM WT","Ak8"
"Lpar1",1.2634591788699e-154,0.91605459879229,0.859,0.142,2.02570410148211e-150,"SPM WT","Lpar1"
"Cd300lg",5.57912915373317e-152,0.618678699579467,0.73,0.101,8.94501777218038e-148,"SPM WT","Cd300lg"
"Steap3",1.79932199034486e-151,0.665591100697788,0.724,0.1,2.88485294711992e-147,"SPM WT","Steap3"
"Il1rl1",7.17333292860626e-144,0.431263512765503,0.459,0.039,1.15010046844344e-139,"SPM WT","Il1rl1"
"Nup210",8.98013822102105e-144,0.351445523909507,0.422,0.033,1.43978556097631e-139,"SPM WT","Nup210"
"1700025G04Rik",1.40893532045e-143,0.725983187728432,0.73,0.1,2.25894599927748e-139,"SPM WT","1700025G04Rik"
