"","Gene1ID","Gene1Symbol","Gene1SpeciesTaxonID","Gene1SpeciesName","Gene2ID","Gene2Symbol","Gene2SpeciesTaxonID","Gene2SpeciesName","Algorithms","AlgorithmsMatch","OutOfAlgorithms","IsBestScore","IsBestRevScore"
"1","HGNC:7962","NR1D1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865140","nr1d1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"2","HGNC:7962","NR1D1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17334451","nr1d1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"3","HGNC:7963","NR1D2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6486246","nr1d2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"4","HGNC:7963","NR1D2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17339579","nr1d2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"5","HGNC:10889","SIX3","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-478765","six3.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"6","HGNC:10889","SIX3","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17343547","six3.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"7","HGNC:19164","STARD13","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865223","stard13.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"8","HGNC:19164","STARD13","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17329996","stard13.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"9","HGNC:9857","RAP1B","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-479040","rap1b.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"10","HGNC:9857","RAP1B","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17341081","rap1b.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
