"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"1","GTDC1","ENSG00000121964","1.1.1","GTDC1","ENSMICG00000007473","glycosyltransferase like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20887]"
"2","PRR5L","ENSG00000135362","2.1.1","PRR5L","ENSMICG00000047184","proline rich 5 like [Source:HGNC Symbol;Acc:HGNC:25878]"
"3","OPA3","ENSG00000125741","3.1.1","OPA3","ENSMICG00000046590","outer mitochondrial membrane lipid metabolism regulator OPA3 [Source:HGNC Symbol;Acc:HGNC:8142]"
"4","IL10","ENSG00000136634","4.1.1","IL10","ENSMICG00000047379","interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]"
"5","PCNP","ENSG00000081154","5.1.1","ENSMICG00000034845","ENSMICG00000034845",""
"5","PCNP","ENSG00000081154","5.1.2","ENSMICG00000049084","ENSMICG00000049084",""
"6","MR1","ENSG00000153029","6.1.1","MR1","ENSMICG00000035140","major histocompatibility complex, class I-related [Source:HGNC Symbol;Acc:HGNC:4975]"
"7","ABHD12","ENSG00000100997","7.1.1","ABHD12","ENSMICG00000005779","abhydrolase domain containing 12, lysophospholipase [Source:HGNC Symbol;Acc:HGNC:15868]"
"8","CHID1","ENSG00000177830","8.1.1","CHID1","ENSMICG00000000972","chitinase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28474]"
"9","ENC1","ENSG00000171617","9.1.1","ENC1","ENSMICG00000000742","ectodermal-neural cortex 1 [Source:HGNC Symbol;Acc:HGNC:3345]"
"10","RANBP9","ENSG00000010017","10.1.1","RANBP9","ENSMICG00000000179","RAN binding protein 9 [Source:HGNC Symbol;Acc:HGNC:13727]"
"11","WDR81","ENSG00000167716","11.1.1","WDR81","ENSMICG00000000167","WD repeat domain 81 [Source:HGNC Symbol;Acc:HGNC:26600]"
"12","MACF1","ENSG00000127603","12.1.1","MACF1","ENSMICG00000016523","microtubule actin crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:13664]"
"13","SNX1","ENSG00000028528","13.1.1","SNX1","ENSMICG00000011078","sorting nexin 1 [Source:HGNC Symbol;Acc:HGNC:11172]"
"14","TRIM47","ENSG00000132481","14.1.1","TRIM47","ENSMICG00000007653","tripartite motif containing 47 [Source:HGNC Symbol;Acc:HGNC:19020]"
"15","CDK19","ENSG00000155111","15.1.1","CDK19","ENSMICG00000003153","cyclin dependent kinase 19 [Source:HGNC Symbol;Acc:HGNC:19338]"
"16","C3AR1","ENSG00000171860","16.1.1","C3AR1","ENSMICG00000035199","complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]"
"17","SLC7A7","ENSG00000155465","17.1.1","SLC7A7","ENSMICG00000036164","solute carrier family 7 member 7 [Source:HGNC Symbol;Acc:HGNC:11065]"
"18","MITF","ENSG00000187098","18.1.1","MITF","ENSMICG00000002894","melanocyte inducing transcription factor [Source:HGNC Symbol;Acc:HGNC:7105]"
"19","LY86","ENSG00000112799","19.1.1","LY86","ENSMICG00000016183","lymphocyte antigen 86 [Source:HGNC Symbol;Acc:HGNC:16837]"
"20","AKT1S1","ENSG00000204673","20.1.1","AKT1S1","ENSMICG00000044841","AKT1 substrate 1 [Source:HGNC Symbol;Acc:HGNC:28426]"
"21","ANG","ENSG00000214274","21.1.1","N/A","N/A","N/A"
"22","BLNK","ENSG00000095585","22.1.1","BLNK","ENSMICG00000010724","B cell linker [Source:HGNC Symbol;Acc:HGNC:14211]"
"23","CREM","ENSG00000095794","23.1.1","ENSMICG00000000835","ENSMICG00000000835",""
"23","CREM","ENSG00000095794","23.1.2","ENSMICG00000026503","ENSMICG00000026503",""
"23","CREM","ENSG00000095794","23.1.3","ENSMICG00000026518","ENSMICG00000026518",""
"24","LPXN","ENSG00000110031","24.1.1","LPXN","ENSMICG00000001409","leupaxin [Source:HGNC Symbol;Acc:HGNC:14061]"
"25","PRRC2A","ENSG00000204469","25.1.1","PRRC2A","ENSMICG00000003604","proline rich coiled-coil 2A [Source:HGNC Symbol;Acc:HGNC:13918]"
"26","ALOX5AP","ENSG00000132965","26.1.1","ALOX5AP","ENSMICG00000001953","arachidonate 5-lipoxygenase activating protein [Source:HGNC Symbol;Acc:HGNC:436]"
"27","SLC41A2","ENSG00000136052","27.1.1","SLC41A2","ENSMICG00000011700","solute carrier family 41 member 2 [Source:HGNC Symbol;Acc:HGNC:31045]"
"28","EVL","ENSG00000196405","28.1.1","EVL","ENSMICG00000013093","Enah/Vasp-like [Source:HGNC Symbol;Acc:HGNC:20234]"
"29","CFAP45","ENSG00000213085","29.1.1","CFAP45","ENSMICG00000015529","cilia and flagella associated protein 45 [Source:HGNC Symbol;Acc:HGNC:17229]"
"30","BACH1","ENSG00000156273","30.1.1","BACH1","ENSMICG00000030387","BTB domain and CNC homolog 1 [Source:HGNC Symbol;Acc:HGNC:935]"
"31","ZNF217","ENSG00000171940","31.1.1","ZNF217","ENSMICG00000009450","zinc finger protein 217 [Source:HGNC Symbol;Acc:HGNC:13009]"
"32","SELENOP","ENSG00000250722","32.1.1","N/A","N/A","N/A"
"33","SUFU","ENSG00000107882","33.1.1","SUFU","ENSMICG00000012221","SUFU negative regulator of hedgehog signaling [Source:HGNC Symbol;Acc:HGNC:16466]"
"34","PLEKHH3","ENSG00000068137","34.1.1","PLEKHH3","ENSMICG00000010298","pleckstrin homology, MyTH4 and FERM domain containing H3 [Source:HGNC Symbol;Acc:HGNC:26105]"
"35","PLA2G6","ENSG00000184381","35.1.1","PLA2G6","ENSMICG00000011552","phospholipase A2 group VI [Source:HGNC Symbol;Acc:HGNC:9039]"
"36","SUCO","ENSG00000094975","36.1.1","SUCO","ENSMICG00000038298","SUN domain containing ossification factor [Source:HGNC Symbol;Acc:HGNC:1240]"
"37","HK2","ENSG00000159399","37.1.1","HK2","ENSMICG00000011332","hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]"
"38","SEC23B","ENSG00000101310","38.1.1","ENSMICG00000010750","ENSMICG00000010750",""
"38","SEC23B","ENSG00000101310","38.1.2","ENSMICG00000042283","ENSMICG00000042283",""
"39","RNF13","ENSG00000082996","39.1.1","RNF13","ENSMICG00000049394","ring finger protein 13 [Source:HGNC Symbol;Acc:HGNC:10057]"
"40","SLA","ENSG00000155926","40.1.1","SLA","ENSMICG00000047658","Src like adaptor [Source:HGNC Symbol;Acc:HGNC:10902]"
"41","FRMD4A","ENSG00000151474","41.1.1","FRMD4A","ENSMICG00000006587","FERM domain containing 4A [Source:HGNC Symbol;Acc:HGNC:25491]"
"42","DCAF11","ENSG00000100897","42.1.1","DCAF11","ENSMICG00000008081","DDB1 and CUL4 associated factor 11 [Source:HGNC Symbol;Acc:HGNC:20258]"
"43","SLC38A7","ENSG00000103042","43.1.1","SLC38A7","ENSMICG00000016985","solute carrier family 38 member 7 [Source:HGNC Symbol;Acc:HGNC:25582]"
"44","STIM1","ENSG00000167323","44.1.1","STIM1","ENSMICG00000015437","stromal interaction molecule 1 [Source:HGNC Symbol;Acc:HGNC:11386]"
