"","Gene1ID","Gene1Symbol","Gene1SpeciesTaxonID","Gene1SpeciesName","Gene2ID","Gene2Symbol","Gene2SpeciesTaxonID","Gene2SpeciesName","Algorithms","AlgorithmsMatch","OutOfAlgorithms","IsBestScore","IsBestRevScore"
"1","HGNC:7962","NR1D1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865140","nr1d1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"2","HGNC:7962","NR1D1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17334451","nr1d1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"3","HGNC:4042","FZD4","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865153","fzd4.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"4","HGNC:4042","FZD4","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17342547","fzd4.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"5","HGNC:668","RHOB","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6077451","rhob.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"6","HGNC:668","RHOB","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17338674","rhob.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"7","HGNC:7963","NR1D2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6486246","nr1d2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"8","HGNC:7963","NR1D2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17339579","nr1d2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"9","HGNC:10258","RORA","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17343726","rora.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"10","HGNC:10258","RORA","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17343727","rora.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
