"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"1","GTDC1","ENSG00000121964","1.1.1","Gtdc1","ENSMUSG00000036890","glycosyltransferase-like domain containing 1 [Source:MGI Symbol;Acc:MGI:2444269]"
"2","PRR5L","ENSG00000135362","2.1.1","Prr5l","ENSMUSG00000032841","proline rich 5 like [Source:MGI Symbol;Acc:MGI:1919696]"
"3","OPA3","ENSG00000125741","3.1.1","Opa3","ENSMUSG00000052214","optic atrophy 3 [Source:MGI Symbol;Acc:MGI:2686271]"
"4","IL10","ENSG00000136634","4.1.1","Il10","ENSMUSG00000016529","interleukin 10 [Source:MGI Symbol;Acc:MGI:96537]"
"5","PCNP","ENSG00000081154","5.1.1","Pcnp","ENSMUSG00000071533","PEST proteolytic signal containing nuclear protein [Source:MGI Symbol;Acc:MGI:1923552]"
"6","MR1","ENSG00000153029","6.1.1","Mr1","ENSMUSG00000026471","major histocompatibility complex, class I-related [Source:MGI Symbol;Acc:MGI:1195463]"
"7","ABHD12","ENSG00000100997","7.1.1","Abhd12","ENSMUSG00000032046","abhydrolase domain containing 12 [Source:MGI Symbol;Acc:MGI:1923442]"
"8","CHID1","ENSG00000177830","8.1.1","Chid1","ENSMUSG00000025512","chitinase domain containing 1 [Source:MGI Symbol;Acc:MGI:1915288]"
"9","ENC1","ENSG00000171617","9.1.1","Enc1","ENSMUSG00000041773","ectodermal-neural cortex 1 [Source:MGI Symbol;Acc:MGI:109610]"
"10","RANBP9","ENSG00000010017","10.1.1","Ranbp9","ENSMUSG00000038546","RAN binding protein 9 [Source:MGI Symbol;Acc:MGI:1928741]"
"11","WDR81","ENSG00000167716","11.1.1","Wdr81","ENSMUSG00000045374","WD repeat domain 81 [Source:MGI Symbol;Acc:MGI:2681828]"
"12","MACF1","ENSG00000127603","12.1.1","Macf1","ENSMUSG00000028649","microtubule-actin crosslinking factor 1 [Source:MGI Symbol;Acc:MGI:108559]"
"13","SNX1","ENSG00000028528","13.1.1","Snx1","ENSMUSG00000032382","sorting nexin 1 [Source:MGI Symbol;Acc:MGI:1928395]"
"14","TRIM47","ENSG00000132481","14.1.1","Trim47","ENSMUSG00000020773","tripartite motif-containing 47 [Source:MGI Symbol;Acc:MGI:1917374]"
"15","CDK19","ENSG00000155111","15.1.1","Cdk19","ENSMUSG00000038481","cyclin dependent kinase 19 [Source:MGI Symbol;Acc:MGI:1925584]"
"16","C3AR1","ENSG00000171860","16.1.1","C3ar1","ENSMUSG00000040552","complement component 3a receptor 1 [Source:MGI Symbol;Acc:MGI:1097680]"
"17","SLC7A7","ENSG00000155465","17.1.1","Slc7a7","ENSMUSG00000000958","solute carrier family 7 (cationic amino acid transporter, y+ system), member 7 [Source:MGI Symbol;Acc:MGI:1337120]"
"18","MITF","ENSG00000187098","18.1.1","Mitf","ENSMUSG00000035158","melanogenesis associated transcription factor [Source:MGI Symbol;Acc:MGI:104554]"
"19","LY86","ENSG00000112799","19.1.1","Ly86","ENSMUSG00000021423","lymphocyte antigen 86 [Source:MGI Symbol;Acc:MGI:1321404]"
"20","AKT1S1","ENSG00000204673","20.1.1","Akt1s1","ENSMUSG00000011096","AKT1 substrate 1 [Source:MGI Symbol;Acc:MGI:1914855]"
"21","ANG","ENSG00000214274","21.1.1","Ang2","ENSMUSG00000047894","angiogenin, ribonuclease A family, member 2 [Source:MGI Symbol;Acc:MGI:104984]"
"21","ANG","ENSG00000214274","21.1.2","Ang5","ENSMUSG00000053961","angiogenin, ribonuclease A family, member 5 [Source:MGI Symbol;Acc:MGI:3528599]"
