"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"1","GTDC1","ENSG00000121964","1.1.1","GTDC1","ENSSSCG00000015670","glycosyltransferase like domain containing 1 [Source:VGNC Symbol;Acc:VGNC:95955]"
"2","PRR5L","ENSG00000135362","2.1.1","PRR5L","ENSSSCG00000013292","proline rich 5 like [Source:VGNC Symbol;Acc:VGNC:91862]"
"3","OPA3","ENSG00000125741","3.1.1","OPA3","ENSSSCG00000058475","outer mitochondrial membrane lipid metabolism regulator OPA3 [Source:HGNC Symbol;Acc:HGNC:8142]"
"4","IL10","ENSG00000136634","4.1.1","IL10","ENSSSCG00000015652","interleukin 10 [Source:VGNC Symbol;Acc:VGNC:108593]"
"5","PCNP","ENSG00000081154","5.1.1","PCNP","ENSSSCG00000036491","PEST proteolytic signal containing nuclear protein [Source:VGNC Symbol;Acc:VGNC:104018]"
"6","MR1","ENSG00000153029","6.1.1","MR1","ENSSSCG00000015540","major histocompatibility complex, class I-related [Source:VGNC Symbol;Acc:VGNC:90338]"
"7","ABHD12","ENSG00000100997","7.1.1","ABHD12","ENSSSCG00000040449","abhydrolase domain containing 12, lysophospholipase [Source:VGNC Symbol;Acc:VGNC:95682]"
"8","CHID1","ENSG00000177830","8.1.1","CHID1","ENSSSCG00000012837","chitinase domain containing 1 [Source:VGNC Symbol;Acc:VGNC:86644]"
"9","ENC1","ENSG00000171617","9.1.1","ENC1","ENSSSCG00000014072","ectodermal-neural cortex 1 [Source:VGNC Symbol;Acc:VGNC:87696]"
"10","RANBP9","ENSG00000010017","10.1.1","RANBP9","ENSSSCG00000001056","RAN binding protein 9 [Source:VGNC Symbol;Acc:VGNC:92082]"
"11","WDR81","ENSG00000167716","11.1.1","WDR81","ENSSSCG00000040732","WD repeat domain 81 [Source:VGNC Symbol;Acc:VGNC:99104]"
"12","MACF1","ENSG00000127603","12.1.1","MACF1","ENSSSCG00000003654","microtubule actin crosslinking factor 1 [Source:VGNC Symbol;Acc:VGNC:98496]"
"13","SNX1","ENSG00000028528","13.1.1","SNX1","ENSSSCG00000042703","sorting nexin 1 [Source:VGNC Symbol;Acc:VGNC:112527]"
"14","TRIM47","ENSG00000132481","14.1.1","TRIM47","ENSSSCG00000017199","tripartite motif containing 47 [Source:VGNC Symbol;Acc:VGNC:94419]"
"15","CDK19","ENSG00000155111","15.1.1","CDK19","ENSSSCG00000037424","cyclin dependent kinase 19 [Source:VGNC Symbol;Acc:VGNC:86502]"
