"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"1","GTDC1","ENSG00000121964","1.1.1","gtdc1","ENSDARG00000020642","glycosyltransferase-like domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-050417-8]"
"2","PRR5L","ENSG00000135362","2.1.1","prr5l","ENSDARG00000029431","proline rich 5 like [Source:ZFIN;Acc:ZDB-GENE-120411-9]"
"2","PRR5L","ENSG00000135362","2.1.2","ENSDARG00000105788","ENSDARG00000105788",""
"3","OPA3","ENSG00000125741","3.1.1","opa3","ENSDARG00000061761","outer mitochondrial membrane lipid metabolism regulator OPA3 [Source:ZFIN;Acc:ZDB-GENE-050210-1]"
"4","IL10","ENSG00000136634","4.1.1","il10","ENSDARG00000078147","interleukin 10 [Source:ZFIN;Acc:ZDB-GENE-051111-1]"
"5","PCNP","ENSG00000081154","5.1.1","pcnp","ENSDARG00000037713","PEST proteolytic signal containing nuclear protein [Source:ZFIN;Acc:ZDB-GENE-041010-130]"
"5","PCNP","ENSG00000081154","5.1.2","PCNP","ENSDARG00000116774","PEST proteolytic signal containing nuclear protein [Source:HGNC Symbol;Acc:HGNC:30023]"
"6","MR1","ENSG00000153029","6.1.1","N/A","N/A","N/A"
"7","ABHD12","ENSG00000100997","7.1.1","abhd12","ENSDARG00000071004","abhydrolase domain containing 12, lysophospholipase [Source:ZFIN;Acc:ZDB-GENE-060929-268]"
"8","CHID1","ENSG00000177830","8.1.1","chid1","ENSDARG00000069673","chitinase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9169]"
"9","ENC1","ENSG00000171617","9.1.1","enc1","ENSDARG00000035398","ectodermal-neural cortex 1 [Source:ZFIN;Acc:ZDB-GENE-060531-140]"
"10","RANBP9","ENSG00000010017","10.1.1","ranbp9","ENSDARG00000061048","RAN binding protein 9 [Source:ZFIN;Acc:ZDB-GENE-021030-5]"
"11","WDR81","ENSG00000167716","11.1.1","wdr81","ENSDARG00000079702","WD repeat domain 81 [Source:ZFIN;Acc:ZDB-GENE-030131-3389]"
"12","MACF1","ENSG00000127603","12.1.1","N/A","N/A","N/A"
"13","SNX1","ENSG00000028528","13.1.1","snx1a","ENSDARG00000071031","sorting nexin 1a [Source:ZFIN;Acc:ZDB-GENE-060302-3]"
"13","SNX1","ENSG00000028528","13.1.2","SNX1","ENSDARG00000103529","sorting nexin 1 [Source:HGNC Symbol;Acc:HGNC:11172]"
"14","TRIM47","ENSG00000132481","14.1.1","TRIM45","ENSDARG00000076781","tripartite motif containing 45 [Source:HGNC Symbol;Acc:HGNC:19018]"
"15","CDK19","ENSG00000155111","15.1.1","cdk19","ENSDARG00000043858","cyclin dependent kinase 19 [Source:ZFIN;Acc:ZDB-GENE-040724-19]"
"16","C3AR1","ENSG00000171860","16.1.1","c3ar1","ENSDARG00000031749","C3a anaphylatoxin chemotactic receptor [Source:ZFIN;Acc:ZDB-GENE-230621-1]"
